id,title
119,Artificial intelligence-based cyber security in the context of industry 4.0—a survey
120,"Navigating the cyber security landscape: A comprehensive review of cyber-attacks, emerging trends, and recent developments"
121,Evaluating the cyber security readiness of organizations and its influence on performance
122,Cybersecurity risk
123,Cyber resilience and cyber security issues of intelligent cloud computing systems
124,Artificial intelligence in cyber security
125,Role of AI and its impact on the development of cyber security applications
126,"Review on cyber-physical and cyber-security system in smart grid: Standards, protocols, constraints, and recommendations"
127,Cyber risk and cybersecurity: a systematic review of data availability
128,"A comprehensive review on cyber-attacks in power systems: Impact analysis, detection, and cyber security"
129,"A comprehensive review of cyber security vulnerabilities, threats, attacks, and solutions"
130,"Cyber security techniques, architectures, and design"
131,Cyber security as a threat to health care
132,The difference between cyber security vs information security
133,Internet of things meet internet of threats: New concern cyber security issues of critical cyber infrastructure
134,The role of national cybersecurity strategies on the improvement of cybersecurity education
135,"Generative AI for cyber security: Analyzing the potential of ChatGPT, DALL-E, and other models for enhancing the security space"
136,Cyber security threats: A never-ending challenge for e-commerce
137,Defining cyber security and cyber security risk within a multidisciplinary context using expert elicitation
138,"Study of smart grid cyber-security, examining architectures, communication networks, cyber-attacks, countermeasure techniques, and challenges"
139,The role of cyber security in a digitalizing economy: a development perspective
140,When llms meet cybersecurity: A systematic literature review
141,Evolution of the cyber security threat: an overview of the scale of cyber threat
142,Cyber security training for critical infrastructure protection: A literature review
143,"Cyber security awareness, knowledge and behavior: A comparative study"
144,"Dynamic defenses in cyber security: Techniques, methods and challenges"
145,Artificial intelligence predictions in cyber security: Analysis and early detection of cyber attacks
146,Strategic cybersecurity
147,"Uniting cyber security and machine learning: Advantages, challenges and future research"
148,Cyber security threats on digital banking
149,Cyber security and the Leviathan
150,Artificial intelligence in the cyber security environment
151,"Marketing research on Mobile apps: past, present and future"
152,A survey of performance optimization for mobile applications
168,What works best to engage participants in mobile app interventions and e-health: a scoping review
153,Why people choose Apps: An evaluation of the ecology and user experience of mobile applications
154,A study of mobile app use for teaching and research in higher education
155,Ethical issues of the use of AI-driven mobile apps for education
156,Design guidelines of mobile apps for older adults: systematic review and thematic analysis
157,The role of mobile application acceptance in shaping e-customer service
158,Determinants of mobile apps adoption among young adults: theoretical extension and analysis
159,Deep learning methods for accurate skin cancer recognition and mobile application
160,Features and Functionalities of Medical Mobile Applications for the Endemic Phase of COVID‐19: Review and Content Analysis
161,Enhancing user engagement: The role of gamification in mobile apps
162,Mobile apps for SME business sustainability during COVID-19 and onwards
163,Evaluating the quality and safety of health-related apps and e-tools: Adapting the Mobile App Rating Scale and developing a quality assurance protocol
164,Augmented reality technology adoption: Case of a mobile application in Turkey
165,Faster segment anything: Towards lightweight sam for mobile applications
166,Towards a new learning experience through a mobile application with augmented reality in engineering education
169,Combating against potentially harmful mobile apps
170,Mobile apps to improve medication adherence in cardiovascular disease: systematic review and meta-analysis
171,Engaging shoppers through mobile apps: the role of gamification
172,A review of mobile applications available in the app and google play stores used during the COVID-19 outbreak
173,"Hydrogen storage technologies for stationary and mobile applications: Review, analysis and perspectives"
174,"Would you like to shop via mobile app technology? The technology acceptance model, social factors and purchase intention"
175,Mobile apps for healthy living: Factors influencing continuance intention for health apps
176,Consumer adoption of the Uber mobile application: Insights from diffusion of innovation theory and technology acceptance model
177,Predicting consumers' purchase intention through fast fashion mobile apps: The mediating role of attitude and the moderating role of COVID-19
178,The impact of mobile application features on children's language and literacy learning: a systematic review
179,Consistency analysis of data-usage purposes in mobile apps
180,Understanding and predicting the adoption of fitness mobile apps: evidence from China
181,A new mobile application of agricultural pests recognition using deep learning in cloud computing system
182,Text mining approach to explore determinants of grocery mobile app satisfaction using online customer reviews
183,… benefits and ethical challenges in the rise of mHealth (mobile healthcare) technology for the common good: An analysis of mobile applications for health specialists
184,The role of utilitarian and hedonic aspects in the continuance intention to use social mobile apps
185,Screen recognition: Creating accessibility metadata for mobile applications from pixels
186,User interface design & evaluation of mobile applications
187,"Technology, privacy, and user opinions of COVID-19 mobile apps for contact tracing: Systematic search and content analysis"
188,Breathing: A powerfull tool for physical & neuropsychological regulation. The role of mobile apps
189,Effectiveness of mobile apps to promote health and manage disease: systematic review and meta-analysis of randomized controlled trials
190,Customers' perceived value and dining choice through mobile apps in Indonesia
191,Design and implementation of smart hydroponics farming using IoT‐Based AI controller with mobile application system
192,Enhancing English vocabulary learning through mobile apps: A new paradigm in educational technology
193,Augmented reality mobile apps for cultural heritage reactivation
194,Examining travel mobile app attributes and its impact on consumer engagement: An application of SOR framework
195,User experience analysis on mobile application design using user experience questionnaire
196,Characterization and prediction of mobile-app traffic using Markov modeling
197,Human monkeypox classification from skin lesion images with deep pre-trained network using mobile application
198,Effectiveness of mobile app-based psychological interventions for college students: a systematic review of the literature
199,Gamification in personal health management: a focus on mobile apps
200,ForestScanner: A mobile application for measuring and mapping trees with LiDAR‐equipped iPhone and iPad
