"No.","Query","Kategori Query","Rank","Article ID","Kategori Artikel","Judul Artikel","Abstrak","Similarity Score","Threshold Awal","Evaluator 1","Evaluator 2","Evaluator 3","Label Final","Status Final","Catatan Evaluator"
"30","data mining","Machine Learning","5","100","cyber security","Cyber risk and cybersecurity: a systematic review of data availability","… cybersecurity and cyber risk management with a particular focus on data availability. From a
preliminary search resulting in 5219 cyber … We posit that the lack of available data on cyber …","0,107029","0","0","1","0","0","Tidak Relevan",""
"31","data mining","Machine Learning","6","13","machine learning","Penerapan Machine Learning Untuk Mengategorikan Sampah Plastik Rumah Tangga","… With the help of Machine Learning and Deep Learning, we … Machine learning dapat
diterapkan untuk mengolah data … Data yang tersimpan dalam Machine learning juga dapat …","0,099148","0","1","0","1","1","Relevan",""
"32","data mining","Machine Learning","7","53","cyber security","Data privasi dan keamanan siber pada smart-city: Tinjauan literatur","… kebutuhan keamanan tidak mendukung. Maka dari itu, dalam penelitiannya menyarankan
mitigasi terbaik dalam hal keamanan siber dan data privasi menggunakan keamanan siber …","0,083755","0","0","1","0","0","Tidak Relevan",""
"33","data mining","Machine Learning","8","184","web application","iDEP web application for RNA-seq data analysis","… Through an example, we demonstrate how this web application democratizes access to
high-throughput technologies and help biologists pinpoint molecular pathways from large data. …","0,082166","0","0","0","0","0","Tidak Relevan",""
"34","data mining","Machine Learning","9","10","machine learning","Visualisasi Data dan Penerapan Machine Learning Menggunakan Decision Tree Untuk Keputusan Layanan Kesehatan COVID-19","… untuk penerapan Machine Learning di beberapa aplikasi dunia nyata di mana data dihasilkan
secara terus menerus [16]. Banyak metode Machine Learning … Machine Learning, kami …","0,079187","0","1","1","1","1","Relevan",""
"35","data mining","Machine Learning","10","175","web application","Pengujian aplikasi berbasis web data SKA menggunakan metode Black Box Testing","… aplikasi adalah metode"" Black Box"", yang fokus pada pengujian fungsional tanpa memperhatikan
implementasi internal aplikasi … Pengujian ini akan dilakukan pada website Data SKA …","0,069703","0","0","1","0","0","Tidak Relevan",""
"36","data mining","Machine Learning","11","185","web application","MiBiOmics: an interactive web application for multi-omics data exploration and integration","… Here, we present MiBiOmics, a web-based and standalone application that facilitates
multi-omics data visualization, exploration, integration, and analysis by providing easy access to …","0,062942","0","0","1","0","0","Tidak Relevan",""
"37","data mining","Machine Learning","12","23","machine learning","Penerapan Metode Machine Learning dalam Mengidentifikasi Berita Hoaks","… method using a machine learning approach on news data. … sources and applying machine
learning algorithms, including … The results of this research show that the machine learning …","0,047488","0","1","1","1","1","Relevan",""
"38","data mining","Machine Learning","13","2","machine learning","Tinjauan Pustaka Sistematis: Penerapan Metode Machine Learning untuk Deteksi Bencana Banjir","… Machine Learning dapat mempelajari pola data historis yang ada, sehingga dengan
menggunakan metode machine learning … Hasil penelitian menunjukan bahwa Machine Learning …","0,047167","0","1","1","1","1","Relevan",""
"39","data mining","Machine Learning","14","47","machine learning","Machine learning: new ideas and tools in environmental science and engineering","… Machine learning has the potential to revolutionize data analysis and modeling in the …
shortcomings, challenges, and opportunities for applications of machine learning in the ESE field. …","0,046255","0","1","0","1","1","Relevan",""
"40","data mining","Machine Learning","15","65","cyber security","Pentingnya Keamanan Siber Dalam Era Digital:: Tinjauan Global Dan Kondisi Di Indonesia","… dalam sistem keamanan siber yang bisa berdampak besar pada keamanan data strategis
negara. Penelitian ini bertujuan untuk menganalisis pentingnya keamanan siber dengan …","0,045624","0","0","1","0","0","Tidak Relevan",""
"41","data mining","Machine Learning","16","75","cyber security","Keamanan siber di masa depan: Tantangan dan teknologi yang dibutuhkan","… dan laporan terkini terkait keamanan siber. Hasil penelitian … berbasis blockchain dapat
memperkuat keamanan data. Selain itu… mutakhir dengan kebijakan keamanan siber yang adaptif …","0,042435","0","0","1","0","0","Tidak Relevan",""
"42","data mining","Machine Learning","17","7","machine learning","Penerapan Metode Machine Learning dalam Klasifikasi Risiko Kejadian Berat Badan Lahir Rendah di Indonesia","… akan mengkaji penerapan beberapa metode machine learning dengan memperhatikan
kasus imbalanced data dalam pemodelan klasifikasi. Adapun metode meachine learning yang …","0,041148","0","1","0","1","1","Relevan",""
"43","data mining","Machine Learning","18","168","web application","Perancangan Sistem Aplikasi Pendataan Membership Gym Menggunakan Metode Unified Software Development Process (USDP) Berbasis Web","… ini adalah sebuah aplikasi web untuk mengelola keanggotaan gym, yang dapat diakses
oleh admin dan pengguna melalui komputer atau perangkat mobile. Aplikasi ini dikembangkan …","0,04046","0","0","1","0","0","Tidak Relevan",""
"44","data mining","Machine Learning","19","16","machine learning","Penerapan Machine Learning menggunakan algoritma C4. 5 berbasis PSO dalam Menganalisa Data Siswa Putus Sekolah","Pendidikan sangat memegang peranan penting dalam meningkatkan kualitas Sumber
daya manusia yang ada di Indonesia. Untuk itu Pemerintah menggalakkan program wajib …","0,04025","0","1","0","1","1","Relevan",""
"45","data mining","Machine Learning","20","80","cyber security","A systematic literature review on the cyber security","… of cyber security kinds, why cyber security is important, cyber security framework, cyber
security tools, and cyber security … Cyber security safeguards the data and integrity of computing …","0,037084","0","0","0","0","0","Tidak Relevan",""
"46","web application","Web Application","1","197","web application","Open Lab: A web application for running and sharing online experiments","… as a web application on a desktop computer (the “Install app” link is displayed in the top
navigation bar). Progressive web application technology makes the application accessible via …","0,342091","1","1","0","1","1","Relevan",""
"47","web application","Web Application","2","200","web application","A hybrid fuzzy rule-based multi-criteria framework for sustainable-security assessment of web application","… an institutional web application to corroborate the efficiency of this approach. Despite the
web application's sensitivity, this study has used various versions of three web applications of …","0,339757","1","1","0","1","1","Relevan",""
"48","web application","Web Application","3","181","web application","DeepCrop: Deep learning-based crop disease prediction with web application","… a smart web application for real-life crop disease prediction. The proposed web application
aims to … The proposed application uses the ResNet50 transfer learning model at its heart to …","0,315247","1","1","0","1","1","Relevan",""
"49","web application","Web Application","4","177","web application","A survey on web application penetration testing","… Due to their nature, web applications and services are prone to security risks because they …
the Internet and web applications become more widespread, every web application needs an …","0,308729","1","1","0","1","1","Relevan",""
"50","web application","Web Application","5","195","web application","ML-CKDP: Machine learning-based chronic kidney disease prediction with smart web application","… for CKD classification and to develop a web-based application for CKD prediction. The proposed
… Additionally, we present a real-time web-based application to operationalize the model, …","0,279111","0","1","1","1","1","Relevan",""
"51","web application","Web Application","6","188","web application","Machine learning based diabetes prediction and development of smart web application","… We integrate this model in a web application using python flask web development framework.
The results of this study suggest that an appropriate preprocessing pipeline on clinical …","0,270276","0","1","0","1","1","Relevan",""
"52","web application","Web Application","7","193","web application","Securing web applications against XSS and SQLi attacks using a novel deep learning approach","… all web application attacks, SQL injection and XSS attacks are common, which may lead to
severe damage to Web application data or web … for securing web applications from both cross-…","0,265202","0","1","1","1","1","Relevan",""
"53","web application","Web Application","8","180","web application","BEST: a web application for comprehensive biomarker exploration on large-scale data in solid tumors","… Currently, several open-access web servers that allow users … Although these web applications
are valuable and broadly … (BEST), a web-based application for comprehensive biomarker …","0,244648","0","1","1","1","1","Relevan",""
"54","web application","Web Application","9","199","web application","From prompt injections to sql injection attacks: How protected is your llm-integrated web application?","… If an application remains vulnerable to these threats, the … -integrated applications, and what
is their impact on application security? To study this question, we focus on web applications …","0,236682","0","1","0","1","1","Relevan",""
"55","web application","Web Application","10","178","web application","A comparative study of web application security parameters: Current trends and future directions","… in the use of web applications. Businesses, industries, … web applications. This mammoth
rise in their usage has also resulted in many security issues that make these web applications …","0,230489","0","1","0","1","1","Relevan",""
"56","web application","Web Application","11","191","web application","Signature-based and machine-learning-based web application firewalls: A short survey","… web applications typically relied on the simple common gateway interface, CGI, protocol
which spawned C or Perl programs. Attacks were concentrated at underlying web … web server …","0,222473","0","1","0","1","1","Relevan",""
"57","web application","Web Application","12","134","mobile application","Deep learning methods for accurate skin cancer recognition and mobile application","… to be used in a mobile application. To be able to build an effective mobile application, it is …
for our mobile application to be able to classify skin lesions using a common smartphone. …","0,221074","0","0","1","1","1","Relevan",""
"58","web application","Web Application","13","189","web application","A systematic literature review on the characteristics and effectiveness of web application vulnerability scanners","… web applications. Theses scanners have the capability of automatically evaluating the security
of web applications … analysts discover vulnerabilities in web applications. However, these …","0,219031","0","1","1","1","1","Relevan",""
"59","web application","Web Application","14","194","web application","DeepVenn--a web application for the creation of area-proportional Venn diagrams using the deep learning framework Tensorflow. js","… , and others are not available as a web application or accept only numbers and not lists of
… Results: The DeepVenn web application can create area-proportional Venn diagrams of up …","0,216169","0","1","1","1","1","Relevan",""
"60","web application","Web Application","15","184","web application","iDEP web application for RNA-seq data analysis","… Through an example, we demonstrate how this web application democratizes access to
high-throughput technologies and help biologists pinpoint molecular pathways from large data. …","0,208756","0","1","1","1","1","Relevan",""
"61","web application","Web Application","16","187","web application","Development of interactive biological web applications with R/Shiny","… web techniques used to build biological web applications in recent studies To get a full picture
of the web techniques utilized to build biological web applications … issues of web servers …","0,204546","0","1","0","1","1","Relevan",""
"62","web application","Web Application","17","192","web application","Atomistica. online–web application for generating input files for ORCA molecular modelling package made with the Anvil platform","… We present the atomistica.online, a web application for … allows the development of web
applications using only Python … , they are not available as online applications. In this work, we …","0,200848","0","1","0","1","1","Relevan",""
"63","web application","Web Application","18","176","web application","Web application development with streamlit","… web applications of their own, from the most basic use cases to crafting complex and distributed
applications on … should be able to interface their web applications with robust server-side …","0,19208","0","1","1","1","1","Relevan",""
"64","web application","Web Application","19","151","web application","Pengenalan pemrograman web: Pembuatan aplikasi web sederhana dengan PHP dan MySQL","… dalam jurnal ini, kita akan mempelajari bagaimana membuat aplikasi website … dasar
pemrograman web, termasuk pengertian, jenis bahasa pemrograman web, dan arsitektur web. …","0,189208","0","1","1","1","1","Relevan",""
"65","web application","Web Application","20","141","mobile application","Towards a new learning experience through a mobile application with augmented reality in engineering education","… The application of augmented reality (AR) in education … effect of an augmented reality mobile
application (NetAR) that … established to work with the application for three weeks for three …","0,189202","0","0","0","1","0","Tidak Relevan",""
"66","aplikasi web","Web Application","1","167","web application","Implementasi Aplikasi Kasir Berbasis Web pada Toko Ghafya Fruits Shop","… Web adalah suatu layanan atau kumpulan halaman yang berisi informasi, iklan, serta program
aplikasi yang … adalah sebuah aplikasi pendukung untuk membuka software aplikasi web …","0,339599","1","1","1","1","1","Relevan",""
"67","aplikasi web","Web Application","2","155","web application","Analisis Keretanan Website Dengan Aplikasi Owasp Zap","… dirancang khusus untuk menguji aplikasi web dan fleksibel serta dapat … dan aplikasi web
sehingga dapat mencegat dan memeriksa pesan yang dikirim antara browser dan aplikasi web…","0,338959","1","1","1","1","1","Relevan",""
"68","aplikasi web","Web Application","3","158","web application","Pengembangan Aplikasi Berbasis Web dan Android Sebagai Penunjang Kerja di Indonesia: Systematic Literature Review","… aplikasi digunakan di Indonesia untuk mendukung kegiatan baik pemerintah maupun swasta.
Makalah jurnal yang mencakup pembuatan aplikasi berbasis web … aplikasi berbasis web …","0,332195","1","1","1","1","1","Relevan",""
"69","aplikasi web","Web Application","4","157","web application","Rancang bangun aplikasi penjualan online berbasis web menggunakan metode scrum","… aplikasi ini juga tidak banyak. Tujuan dari penelitian ini adalah untuk merancang dan
membangun aplikasi penjualan online berbasis web … Hasil penelitian ini adalah sebuah aplikasi …","0,323811","1","1","1","1","1","Relevan",""
"70","aplikasi web","Web Application","5","164","web application","Penerapan Metode Waterfall Pada Aplikasi Reservasi Lapangan Futsal Berbasis Web","… Hasil dari penelitian ini berupa sebuah aplikasi berbasis web yang … Aplikasi yang telah
dibuat dapat berjalan dengan baik. Kata Kunci: Aplikasi; Black Box; Penjadwalan; Waterfall; Web …","0,32246","1","1","1","1","1","Relevan",""
"71","aplikasi web","Web Application","6","171","web application","Digitalisasi Usaha Mikro Kecil Dan Menengah Di Desa Melalui Aplikasi Kede Desa Berbasis Web","… penjualan melalui sistem yang berbasis web. Aplikasi Web dapat berjalan pada jaringan …
dalam akses adalah ciri utama yang membuat Aplikasi Web lebih banyak diminati dan lebih …","0,311815","1","1","1","1","1","Relevan",""
"72","aplikasi web","Web Application","7","151","web application","Pengenalan pemrograman web: Pembuatan aplikasi web sederhana dengan PHP dan MySQL","… dalam jurnal ini, kita akan mempelajari bagaimana membuat aplikasi website … dasar
pemrograman web, termasuk pengertian, jenis bahasa pemrograman web, dan arsitektur web. …","0,285943","0","1","1","1","1","Relevan",""
"73","aplikasi web","Web Application","8","162","web application","Rancang Bangun Aplikasi Penjualan Kebutuhan Pokok Berbasis Web Pada Toko Khansaa","… belum adanya aplikasi penjualan berbasis web kebutuhan … bangun aplikasi penjualan
kebutuhan pokok berbasis web di … ini adalah sebuah aplikasi penjualan berbasis web di toko …","0,283615","0","1","1","1","1","Relevan",""
"74","aplikasi web","Web Application","9","165","web application","Implementasi Web Service Sebagai Penyedia Informasi Untuk Aplikasi Pengelolaan Jadwal Pemberian Pakan Ikan (Studi Kasus: Pokdakan Karya Bersama)","… solusi dengan membangun web service sebagai … web service. Hasil dari penelitian ini
adalah pengembangan sistem layanan web yang mampu memberikan informasi untuk aplikasi …","0,245791","0","1","1","1","1","Relevan",""
"75","aplikasi web","Web Application","10","163","web application","Aplikasi Marketplace Pendamping Wisata Dengan Api Maps Berbasis Mobile Dan Web","… Salah satu keuntungan membangun aplikasi berbasis website adalah karena website tidak
… terhadap aplikasi web, karena pengguna mengakses server tempat website diletakkan …","0,245176","0","1","0","1","1","Relevan",""
"76","aplikasi web","Web Application","11","161","web application","Rancang bangun aplikasi e-cuti pegawai berbasis website (studi kasus: Pengadilan Tata Usaha Negara)","… Aplikasi yang direncanakan dalam bentuk website ini … Aplikasi web adalah suatu sistem
informasi yang mendukung interaksi dengan pengguna melalui antarmuka berbasis web. …","0,234805","0","1","1","1","1","Relevan",""
"77","aplikasi web","Web Application","12","187","web application","Development of interactive biological web applications with R/Shiny","… web techniques used to build biological web applications in recent studies To get a full picture
of the web techniques utilized to build biological web applications … issues of web servers …","0,231258","0","1","1","1","1","Relevan",""
"78","aplikasi web","Web Application","13","154","web application","Pembuatan aplikasi penjualan berbasis web monja store menggunakan php dan mysql","… software ataupun tampilan website dengan lebih mudah, cepat, dan … Gunakan aplikasi web
server ini sebagai tools bantuan … website perancangan aplikasi penjualan berbasis website …","0,227021","0","1","1","1","1","Relevan",""
"79","aplikasi web","Web Application","14","168","web application","Perancangan Sistem Aplikasi Pendataan Membership Gym Menggunakan Metode Unified Software Development Process (USDP) Berbasis Web","… ini adalah sebuah aplikasi web untuk mengelola keanggotaan gym, yang dapat diakses
oleh admin dan pengguna melalui komputer atau perangkat mobile. Aplikasi ini dikembangkan …","0,223398","0","1","1","1","1","Relevan",""
"80","aplikasi web","Web Application","15","107","mobile application","Aplikasi Mobile JKN Edukasi Tentang Penggunaan Aplikasi Mobile JKN Pada Pasien Rawat Jalan RSUD Anugerah Tomohon","… kurangnya pengetahuan masyarakat mengenai penggunaan aplikasi Mobile JKN. Selain
itu… , aplikasi Mobile JKN merupakan aplikasi yang dapat digunakan pada smartphone. Aplikasi …","0,220582","0","0","1","1","1","Relevan",""
"81","aplikasi web","Web Application","16","160","web application","Rancang Bangun Web Service Api Aplikasi Sentralisasi Produk Umkm Pada Uptd Plut Kumkm Provinsi Lampung","… Penelitian ini dilakukan untuk membuat sebuah aplikasi atau sistem yang dapat … aplikasi
ini menggunakan metode Web Service API, yang akan menghubungkan antara website …","0,219964","0","1","1","1","1","Relevan",""
"82","aplikasi web","Web Application","17","177","web application","A survey on web application penetration testing","… Due to their nature, web applications and services are prone to security risks because they …
the Internet and web applications become more widespread, every web application needs an …","0,208125","0","1","1","1","1","Relevan",""
"83","aplikasi web","Web Application","18","159","web application","Perancangan Aplikasi Pemesanan Makanan Berbasis Web","… berbasis web. Aplikasi ini membuat rancangan menu makanan dilengkapi dengan tampilan
gambar dan daftar harga yang sesuai dengan jenis makanan yang tersedia. Aplikasi ini …","0,206702","0","1","1","1","1","Relevan",""
"84","aplikasi web","Web Application","19","109","mobile application","Tingkat kepuasan masyarakat terhadap pendaftaran online pada aplikasi Mobile JKN","… mudah menggunakan aplikasi, dan puas karena fitur yang ada pada aplikasi lengkap, hal
… ini di analogikan aplikasi dan kelengkapan fitur aplikasi mobile JKN memiliki pengaruh …","0,205278","0","0","1","0","0","Tidak Relevan",""
"85","aplikasi web","Web Application","20","104","mobile application","Peluang Penelitian UI/UX pada Pengembangan Aplikasi Mobile: Systematic literature review","… oleh developer mobile apps [1]. Banyaknya aplikasi mobile yang ada di era digital ini
membuat para pengembang aplikasi mobile giat untuk membuat aplikasi yang menarik dan …","0,20093","0","0","1","0","0","Tidak Relevan",""
"86","sistem informasi berbasis web","Web Application","1","165","web application","Implementasi Web Service Sebagai Penyedia Informasi Untuk Aplikasi Pengelolaan Jadwal Pemberian Pakan Ikan (Studi Kasus: Pokdakan Karya Bersama)","… solusi dengan membangun web service sebagai … web service. Hasil dari penelitian ini
adalah pengembangan sistem layanan web yang mampu memberikan informasi untuk aplikasi …","0,324498","1","1","1","1","1","Relevan",""
"87","sistem informasi berbasis web","Web Application","2","161","web application","Rancang bangun aplikasi e-cuti pegawai berbasis website (studi kasus: Pengadilan Tata Usaha Negara)","… Aplikasi yang direncanakan dalam bentuk website ini … Aplikasi web adalah suatu sistem
informasi yang mendukung interaksi dengan pengguna melalui antarmuka berbasis web. …","0,303364","1","1","1","1","1","Relevan",""
"88","sistem informasi berbasis web","Web Application","3","167","web application","Implementasi Aplikasi Kasir Berbasis Web pada Toko Ghafya Fruits Shop","… Web adalah suatu layanan atau kumpulan halaman yang berisi informasi, iklan, serta program
aplikasi yang … adalah sebuah aplikasi pendukung untuk membuka software aplikasi web …","0,22786","0","1","0","1","1","Relevan",""
"89","sistem informasi berbasis web","Web Application","4","56","cyber security","Analisis penerapan sistem keamanan siber terhadap kejahatan siber di indonesia","… dari penelitian ini adalah untuk mengetahui bagaimana sistem keamanan siber serta
menganalisis hambatan dan upaya untuk mengembangkan sistem keamanan siber di Indonesia. …","0,218606","0","0","1","0","0","Tidak Relevan",""
"90","sistem informasi berbasis web","Web Application","5","171","web application","Digitalisasi Usaha Mikro Kecil Dan Menengah Di Desa Melalui Aplikasi Kede Desa Berbasis Web","… penjualan melalui sistem yang berbasis web. Aplikasi Web dapat berjalan pada jaringan …
dalam akses adalah ciri utama yang membuat Aplikasi Web lebih banyak diminati dan lebih …","0,204012","0","1","1","1","1","Relevan",""
"91","sistem informasi berbasis web","Web Application","6","174","web application","Pengembangan Aplikasi Reservasi Salon Keshoo Berbasis Web","… Pada penelitian ini diajukan pengembangan aplikasi reservasi keshoo salon berbasis web
… Sistem reservasi salon berbasis web ini mampu menjadi solusi agar pemesanan jadwal …","0,177377","0","1","1","1","1","Relevan",""
"92","sistem informasi berbasis web","Web Application","7","158","web application","Pengembangan Aplikasi Berbasis Web dan Android Sebagai Penunjang Kerja di Indonesia: Systematic Literature Review","… aplikasi digunakan di Indonesia untuk mendukung kegiatan baik pemerintah maupun swasta.
Makalah jurnal yang mencakup pembuatan aplikasi berbasis web … aplikasi berbasis web …","0,177209","0","1","1","1","1","Relevan",""
