Query,Kategori Query,Rank,Article ID,Kategori Artikel,Judul,Penulis,Tahun,Source,Similarity Score,Threshold Relevan,Relevan Human Judgment,Occurrence,Interpretasi
aplikasi web,Web Application,8,162,web application,Rancang Bangun Aplikasi Penjualan Kebutuhan Pokok Berbasis Web Pada Toko Khansaa,"A Febriyani, M Martanto",2023,JATI (Jurnal Mahasiswa Teknik …,0.283615,Tidak,Tidak,8,Rendah
aplikasi web,Web Application,9,165,web application,Implementasi Web Service Sebagai Penyedia Informasi Untuk Aplikasi Pengelolaan Jadwal Pemberian Pakan Ikan (Studi Kasus: Pokdakan Karya Bersama),"F Hermawan, AFO Pasaribu",2023,J. Inform. dan Rekayasa …,0.245791,Tidak,Tidak,6,Rendah
aplikasi web,Web Application,10,163,web application,Aplikasi Marketplace Pendamping Wisata Dengan Api Maps Berbasis Mobile Dan Web,"HT Wibowo, RS Tarigan…",2022,Retrieved from osf. io/3jpdt,0.245176,Tidak,Tidak,5,Rendah
aplikasi web,Web Application,11,161,web application,Rancang bangun aplikasi e-cuti pegawai berbasis website (studi kasus: Pengadilan Tata Usaha Negara),"MAK Rizki, AF OP",2021,J. Teknol. dan Sist. Inf,0.234805,Tidak,Tidak,5,Rendah
aplikasi web,Web Application,12,187,web application,Development of interactive biological web applications with R/Shiny,"L Jia, W Yao, Y Jiang, Y Li, Z Wang, H Li…",2022,Briefings in …,0.231258,Tidak,Tidak,6,Rendah
aplikasi web,Web Application,13,154,web application,Pembuatan aplikasi penjualan berbasis web monja store menggunakan php dan mysql,R Noviana,2022,Jurnal Teknik Dan Science,0.227021,Tidak,Tidak,5,Rendah
aplikasi web,Web Application,14,168,web application,Perancangan Sistem Aplikasi Pendataan Membership Gym Menggunakan Metode Unified Software Development Process (USDP) Berbasis Web,"IP Sari, F Alfarisi",2024,Hello World Jurnal Ilmu Komputer,0.223398,Tidak,Tidak,5,Rendah
aplikasi web,Web Application,15,107,mobile application,Aplikasi Mobile JKN Edukasi Tentang Penggunaan Aplikasi Mobile JKN Pada Pasien Rawat Jalan RSUD Anugerah Tomohon,"WME Lumi, RA Musak, F Tumiwa…",2023,Jurnal Pengabdian …,0.220582,Tidak,Tidak,6,Rendah
aplikasi web,Web Application,16,160,web application,Rancang Bangun Web Service Api Aplikasi Sentralisasi Produk Umkm Pada Uptd Plut Kumkm Provinsi Lampung,"PB Ramadhanu, AT Priandika",2021,J. Teknol. dan Sist. Inf,0.219964,Tidak,Tidak,5,Rendah
aplikasi web,Web Application,17,177,web application,A survey on web application penetration testing,"EA Altulaihan, A Alismail, M Frikha",2023,Electronics,0.208125,Tidak,Tidak,4,Rendah
aplikasi web,Web Application,18,159,web application,Perancangan Aplikasi Pemesanan Makanan Berbasis Web,D Haerofifah,2022,Nuansa Informatika,0.206702,Tidak,Tidak,5,Rendah
aplikasi web,Web Application,19,109,mobile application,Tingkat kepuasan masyarakat terhadap pendaftaran online pada aplikasi Mobile JKN,"L Banowati, D Revilia",2021,Health Care: Jurnal Kesehatan,0.205278,Tidak,Tidak,5,Rendah
aplikasi web,Web Application,20,104,mobile application,Peluang Penelitian UI/UX pada Pengembangan Aplikasi Mobile: Systematic literature review,"UU Sufandi, D Trihapningsari, W Mellysa",2022,Techno. Com,0.20093,Tidak,Tidak,4,Rendah
sistem informasi berbasis web,Web Application,1,165,web application,Implementasi Web Service Sebagai Penyedia Informasi Untuk Aplikasi Pengelolaan Jadwal Pemberian Pakan Ikan (Studi Kasus: Pokdakan Karya Bersama),"F Hermawan, AFO Pasaribu",2023,J. Inform. dan Rekayasa …,0.324498,Ya,Ya,7,Relevan Sedang
sistem informasi berbasis web,Web Application,2,161,web application,Rancang bangun aplikasi e-cuti pegawai berbasis website (studi kasus: Pengadilan Tata Usaha Negara),"MAK Rizki, AF OP",2021,J. Teknol. dan Sist. Inf,0.303364,Ya,Ya,6,Relevan Sedang
sistem informasi berbasis web,Web Application,3,167,web application,Implementasi Aplikasi Kasir Berbasis Web pada Toko Ghafya Fruits Shop,"DE Cahyono, A Jayanti",2022,Jurnal Ekonomi Dan Teknik …,0.22786,Tidak,Tidak,5,Rendah
sistem informasi berbasis web,Web Application,4,56,cyber security,Analisis penerapan sistem keamanan siber terhadap kejahatan siber di indonesia,"Y Daeng, J Levin, K Karolina, MR Prayudha…",2023,Innovative: Journal Of …,0.218606,Tidak,Tidak,3,Rendah
sistem informasi berbasis web,Web Application,5,171,web application,Digitalisasi Usaha Mikro Kecil Dan Menengah Di Desa Melalui Aplikasi Kede Desa Berbasis Web,"J Hendrawan, ID Perwitasari…",2023,JSR: Jaringan …,0.204012,Tidak,Tidak,7,Rendah
sistem informasi berbasis web,Web Application,6,174,web application,Pengembangan Aplikasi Reservasi Salon Keshoo Berbasis Web,"BJM Putra, A Purwatama…",2023,Journal of Electrical …,0.177377,Tidak,Tidak,7,Rendah
sistem informasi berbasis web,Web Application,7,158,web application,Pengembangan Aplikasi Berbasis Web dan Android Sebagai Penunjang Kerja di Indonesia: Systematic Literature Review,T Wahyudi,2022,Indonesian Journal Computer Science,0.177209,Tidak,Tidak,6,Rendah
sistem informasi berbasis web,Web Application,8,63,cyber security,Perkembangan Sistem Pertahanan/Keamanan Siber Indonesia dalam Menghadapi Tantangan Perkembangan Teknologi dan Informasi:-,M Rizki,2022,Politeia: Jurnal Ilmu Politik,0.175047,Tidak,Tidak,2,Rendah
sistem informasi berbasis web,Web Application,9,162,web application,Rancang Bangun Aplikasi Penjualan Kebutuhan Pokok Berbasis Web Pada Toko Khansaa,"A Febriyani, M Martanto",2023,JATI (Jurnal Mahasiswa Teknik …,0.174343,Tidak,Tidak,8,Rendah
sistem informasi berbasis web,Web Application,10,173,web application,Rancang Bangun Aplikasi Computer Based Test Berbasis Web Pada Smpn 1 Katapang Kabupaten Bandung Selatan,MR Maulani,2021,Jurnal Teknik Informatika,0.169461,Tidak,Tidak,3,Rendah
sistem informasi berbasis web,Web Application,11,55,cyber security,Manajemen keamanan cyber di era digital,"E Susanto, L Antira, K Kevin…",2023,… of Business And …,0.142169,Tidak,Tidak,1,Rendah
sistem informasi berbasis web,Web Application,12,172,web application,Perancangan sistem aplikasi penjualan dan layanan jasa laundry sepatu berbasis website,"IP Sari, A Syahputra, N Zaky…",2022,Blend sains jurnal …,0.140811,Tidak,Tidak,4,Rendah
sistem informasi berbasis web,Web Application,13,157,web application,Rancang bangun aplikasi penjualan online berbasis web menggunakan metode scrum,"A Andipradana, KD Hartomo",2021,Jurnal Algoritma,0.136614,Tidak,Tidak,4,Rendah
sistem informasi berbasis web,Web Application,14,168,web application,Perancangan Sistem Aplikasi Pendataan Membership Gym Menggunakan Metode Unified Software Development Process (USDP) Berbasis Web,"IP Sari, F Alfarisi",2024,Hello World Jurnal Ilmu Komputer,0.135586,Tidak,Tidak,4,Rendah
sistem informasi berbasis web,Web Application,15,164,web application,Penerapan Metode Waterfall Pada Aplikasi Reservasi Lapangan Futsal Berbasis Web,"T Ardiansah, D Hidayatullah",2023,Journal of …,0.134463,Tidak,Tidak,5,Rendah
sistem informasi berbasis web,Web Application,16,163,web application,Aplikasi Marketplace Pendamping Wisata Dengan Api Maps Berbasis Mobile Dan Web,"HT Wibowo, RS Tarigan…",2022,Retrieved from osf. io/3jpdt,0.122679,Tidak,Tidak,4,Rendah
sistem informasi berbasis web,Web Application,17,68,cyber security,Keamanan siber sebagai fondasi pengembangan aplikasi keuangan mobile: Studi literatur mengenai cybercrime dan mitigasinya,"S Azizah, ZN Ula, D Mutiara…",2024,Akuntansi dan …,0.120793,Tidak,Tidak,2,Rendah
sistem informasi berbasis web,Web Application,18,154,web application,Pembuatan aplikasi penjualan berbasis web monja store menggunakan php dan mysql,R Noviana,2022,Jurnal Teknik Dan Science,0.113595,Tidak,Tidak,4,Rendah
sistem informasi berbasis web,Web Application,19,103,mobile application,Penerapan metode design thinking dalam perancangan UI/UX aplikasi mobile SIPROPMAWA,"S Ansori, P Hendradi, S Nugroho…",2023,Journal of …,0.112023,Tidak,Tidak,2,Rendah
sistem informasi berbasis web,Web Application,20,153,web application,Penggunaan liveworksheet dengan aplikasi berbasis web untuk meningkatkan hasil belajar peserta didik,A Prabowo,2021,Jurnal Pendidikan Dan Teknologi Indonesia,0.107389,Tidak,Tidak,4,Rendah
cyber security,Cyber Security,1,80,cyber security,A systematic literature review on the cyber security,"Y Perwej, SQ Abbas, JP Dixit, N Akhtar…",2021,International Journal of …,0.808445,Ya,Ya,14,Relevan Tinggi
cyber security,Cyber Security,2,87,cyber security,Analysis of cyber security knowledge gaps based on cyber security body of knowledge,"C Catal, A Ozcan, E Donmez, A Kasif",2023,Education and Information …,0.629167,Ya,Ya,12,Relevan Tinggi
cyber security,Cyber Security,3,92,cyber security,Artificial intelligence-based cyber security in the context of industry 4.0—a survey,"AJG De Azambuja, C Plesker, K Schützer, R Anderl…",2023,Electronics,0.549152,Ya,Ya,9,Relevan Tinggi
cyber security,Cyber Security,4,99,cyber security,"Review on cyber-physical and cyber-security system in smart grid: Standards, protocols, constraints, and recommendations","MK Hasan, AKMA Habib, Z Shukur, F Ibrahim…",2023,Journal of network and …,0.521917,Ya,Ya,11,Relevan Tinggi
cyber security,Cyber Security,5,78,cyber security,A comprehensive review study of cyber-attacks and cyber security; Emerging trends and recent developments,"Y Li, Q Liu",2021,Energy Reports,0.519774,Ya,Ya,10,Relevan Tinggi
cyber security,Cyber Security,6,97,cyber security,Cyber resilience and cyber security issues of intelligent cloud computing systems,F Abdullayeva,2023,Results in Control and Optimization,0.490836,Ya,Ya,9,Relevan Sedang
cyber security,Cyber Security,7,79,cyber security,The recent trends in cyber security: A review,"J Kaur, KR Ramkumar",2022,Journal of King Saud University-Computer and …,0.485449,Ya,Ya,8,Relevan Sedang
cyber security,Cyber Security,8,94,cyber security,Evaluating the cyber security readiness of organizations and its influence on performance,"S Hasan, M Ali, S Kurnia, R Thurasamy",2021,Journal of Information Security …,0.467244,Ya,Ya,9,Relevan Sedang
cyber security,Cyber Security,9,90,cyber security,Deep reinforcement learning for cyber security,"TT Nguyen, VJ Reddi",2021,IEEE Transactions on Neural Networks …,0.445811,Ya,Ya,7,Relevan Sedang
cyber security,Cyber Security,10,77,cyber security,"Cyber security, cyber threats, implications and future perspectives: A Review",D Ghelani,2022,Authorea Preprints,0.417574,Ya,Ya,7,Relevan Sedang
cyber security,Cyber Security,11,98,cyber security,Role of AI and its impact on the development of cyber security applications,"A Anandita Iyer, KS Umadevi",2023,Artificial Intelligence and Cyber Security in …,0.411761,Ya,Ya,8,Relevan Sedang
cyber security,Cyber Security,12,89,cyber security,"Artificial intelligence in cyber security: Research advances, challenges, and opportunities.","Z Zhang, H Ning, F Shi, F Farha, Y Xu…",2022,Artificial Intelligence …,0.40306,Ya,Ya,7,Relevan Sedang
cyber security,Cyber Security,13,76,cyber security,"Cyber security: State of the art, challenges and future directions","WS Admass, YY Munaye, AA Diro",2024,Cyber Security and Applications,0.397394,Ya,Ya,7,Relevan Sedang
cyber security,Cyber Security,14,91,cyber security,The role of user behaviour in improving cyber security management,"AA Moustafa, A Bello, A Maurushat",2021,Frontiers in Psychology,0.391117,Ya,Ya,7,Relevan Sedang
cyber security,Cyber Security,15,96,cyber security,Artificial intelligence in cyber security,"R Das, R Sandhane",2021,Journal of Physics: Conference Series,0.386184,Ya,Ya,6,Relevan Sedang
cyber security,Cyber Security,16,86,cyber security,Cyber security in the age of COVID-19: A timeline and analysis of cyber-crime and cyber-attacks during the pandemic,"HS Lallie, LA Shepherd, JRC Nurse, A Erola…",2021,… & security,0.373834,Ya,Ya,8,Relevan Sedang
