query,kategori_query,rank,article_id,article_category,title,abstract,similarity_score,threshold_relevan,relevan
deep learning,Machine Learning,16,172,web application,Securing web applications against XSS and SQLi attacks using a novel deep learning approach,"… all web application attacks, SQL injection and XSS attacks are common, which may lead to
severe damage to Web application data or web … for securing web applications from both cross-…",0.11126721877104866,0,0
deep learning,Machine Learning,17,175,web application,A deep learning model for cotton disease prediction using fine-tuning with smart web application in agriculture,"Cotton is known as ‘white gold’ in the agricultural industry. Agriculture is the primary source
of economic income in Bangladesh and the country's economy is heavily dependent on …",0.1080458154776239,0,0
deep learning,Machine Learning,18,38,machine learning,"Machine learning: Algorithms, real-world applications and research directions","… learning methods, can intelligently analyze the data on a large scale. In this paper, we present
a comprehensive view on these machine learning … different machine learning techniques …",0.10254309729988338,0,0
deep learning,Machine Learning,19,37,machine learning,When machine learning meets privacy: A survey and outlook,"… problems and machine learning is … machine learning. The survey covers three categories
of interactions between privacy and machine learning: (i) private machine learning, (ii) machine …",0.10207972757232102,0,0
deep learning,Machine Learning,20,36,machine learning,Scientific machine learning benchmarks,"… frameworks, computer architectures and machine learning models… metrics for the application
of machine learning methods to open, … Here, we introduce the concept of machine learning …",0.10200039225584201,0,0
data mining,Machine Learning,1,44,machine learning,Evolutionary machine learning: A survey,"… vectors pruning, and ensemble learning). This article … learning, clustering, association rule
mining, and ensemble methods. For each category, we discuss evolutionary machine learning …",0.19407451079794374,0,0
data mining,Machine Learning,2,86,mobile application,Text mining approach to explore determinants of grocery mobile app satisfaction using online customer reviews,"… for grocery mobile apps in the highly competitive app market. … satisfaction for grocery
mobile apps using online reviews. … to business managers of grocery mobile apps for decision-…",0.13234838054705456,0,0
data mining,Machine Learning,3,124,cyber security,Cyber risk and cybersecurity: a systematic review of data availability,"… cybersecurity and cyber risk management with a particular focus on data availability. From a
preliminary search resulting in 5219 cyber … We posit that the lack of available data on cyber …",0.10938836545853184,0,0
data mining,Machine Learning,4,190,web application,SuperPlotsOfData—a web app for the transparent display and quantitative comparison of continuous data from different conditions,"… To simplify the plotting of data from discrete conditions as a superplot, the SuperPlotsOfData
web app was generated. The tool offers easy and open access to state-of-the-art data …",0.09387017741706583,0,0
data mining,Machine Learning,5,161,web application,iDEP web application for RNA-seq data analysis,"… Through an example, we demonstrate how this web application democratizes access to
high-throughput technologies and help biologists pinpoint molecular pathways from large data. …",0.0799463329818126,0,0
data mining,Machine Learning,6,83,mobile application,Consistency analysis of data-usage purposes in mobile apps,"… Our analysis of 23.1k Android apps has also shown PurPliance to detect contradictions in …
69.66% of apps, indicating the prevalence of inconsistencies of data practices in mobile apps. …",0.07080432376256211,0,0
data mining,Machine Learning,7,163,web application,MiBiOmics: an interactive web application for multi-omics data exploration and integration,"… Here, we present MiBiOmics, a web-based and standalone application that facilitates
multi-omics data visualization, exploration, integration, and analysis by providing easy access to …",0.06256826349581537,0,0
data mining,Machine Learning,8,38,machine learning,"Machine learning: Algorithms, real-world applications and research directions","… learning methods, can intelligently analyze the data on a large scale. In this paper, we present
a comprehensive view on these machine learning … different machine learning techniques …",0.04953930581487196,0,0
data mining,Machine Learning,9,26,machine learning,Machine learning: new ideas and tools in environmental science and engineering,"… Machine learning has the potential to revolutionize data analysis and modeling in the …
shortcomings, challenges, and opportunities for applications of machine learning in the ESE field. …",0.04623203468438318,0,0
data mining,Machine Learning,10,45,machine learning,Machine learning in manufacturing and industry 4.0 applications,"… learning from data, detect prevalent underlying patterns and make informed decisions.
Industries have been successful in the application of machine learning mainly … Machine learning …",0.0456690572559144,0,0
data mining,Machine Learning,11,106,cyber security,A systematic literature review on the cyber security,"… of cyber security kinds, why cyber security is important, cyber security framework, cyber
security tools, and cyber security … Cyber security safeguards the data and integrity of computing …",0.042764469881507186,0,0
data mining,Machine Learning,12,43,machine learning,Machine Learning for industrial applications: A comprehensive literature review,"Abstract Machine Learning (ML) is a branch of artificial intelligence that studies algorithms
able to learn autonomously, directly from the input data. Over the last decade, ML techniques …",0.04272120322820192,0,0
data mining,Machine Learning,13,146,cyber security,Artificial intelligence in the cyber security environment,"… comprehend network safety or areas of cyber security issues. … to foresee and distinguish
data security dangers and failures. … Cyber security Digital protection measures are related with …",0.04258913491906706,0,0
data mining,Machine Learning,14,126,cyber security,"A comprehensive review of cyber security vulnerabilities, threats, attacks, and solutions","… In summary, cyber security ensures the security of virtual life on cyber networks. The … under
the name of cyber security [4]. The primary purpose of cyber security is to secure the data of …",0.0415315826894434,0,0
data mining,Machine Learning,15,3,machine learning,Amnesiac machine learning,"… It gives EU residents the ability to request deletion of their personal data, including training
records used to train machine learning models. Unfortunately, Deep Neural Network models …",0.03930049143656857,0,0
data mining,Machine Learning,16,138,cyber security,"Cyber security awareness, knowledge and behavior: A comparative study","… security. As rates of data usage and internet consumption continue to increase, cyber …
This study focuses on the relationships between cyber security awareness, knowledge and …",0.03898954245662412,0,0
data mining,Machine Learning,17,47,machine learning,Machine learning in environmental research: common pitfalls and best practices,"… Machine learning (ML) is increasingly used in environmental research to process large data
… By analyzing good examples on supervised learning and reference modeling paradigms, …",0.038641492551946516,0,0
data mining,Machine Learning,18,9,machine learning,Open-environment machine learning,"… open learning or open ML for short. Note that the name ‘open-world machine learning’ was
used to refer to machine learning with unseen class [1] or outof-distribution (OOD) data [2]. In …",0.036723379193394905,0,0
data mining,Machine Learning,19,63,mobile application,Enhancing user engagement: The role of gamification in mobile apps,"… users’ engagement with their mobile apps. However, more … Data from 276 users of a mobile
gamified app were analyzed … help developers design more effective gamified mobile apps. …",0.03613118705286687,0,0
data mining,Machine Learning,20,39,machine learning,Applying machine learning to study fluid mechanics,"… This paper provides a short overview of how to use machine learning to build data-driven
models in fluid mechanics. The process of machine learning is broken down into five stages: (1…",0.03600720189172146,0,0
website application,Web Application,1,198,web application,A geometric morphometric method and web application for identifying honey bee species (Apis spp.) using only forewings,"… We also developed a web application that can be used to identify the Apis species using an
… s3-website. us-east-2.amazonaws.com/. Our data and web application are useful for field …",0.2162311456497613,0,0
website application,Web Application,2,177,web application,Open Lab: A web application for running and sharing online experiments,"… as a web application on a desktop computer (the “Install app” link is displayed in the top
navigation bar). Progressive web application technology makes the application accessible via …",0.046064912279943866,0,0
website application,Web Application,3,61,mobile application,Deep learning methods for accurate skin cancer recognition and mobile application,"… to be used in a mobile application. To be able to build an effective mobile application, it is …
for our mobile application to be able to classify skin lesions using a common smartphone. …",0.04556021319143831,0,0
website application,Web Application,4,85,mobile application,A new mobile application of agricultural pests recognition using deep learning in cloud computing system,"… mobile application to automatically classify pests using a deep-learning solution for supporting
specialists and farmers. The developed application … our developed application for on-line …",0.044642661611192846,0,0
website application,Web Application,5,157,web application,DeepCrop: Deep learning-based crop disease prediction with web application,"… a smart web application for real-life crop disease prediction. The proposed web application
aims to … The proposed application uses the ResNet50 transfer learning model at its heart to …",0.04243902740971958,0,0
website application,Web Application,6,69,mobile application,Towards a new learning experience through a mobile application with augmented reality in engineering education,"… The application of augmented reality (AR) in education … effect of an augmented reality mobile
application (NetAR) that … established to work with the application for three weeks for three …",0.039677384456491424,0,0
website application,Web Application,7,199,web application,CLC-Pred 2.0: a freely available web application for in silico prediction of human cell line cytotoxicity and molecular mechanisms of action for druglike …,"… In 2018, we developed the first freely available web application (… Here, we present a new
version of this web application: CLC-… extension of the capabilities of the initial web application. …",0.03634953256218337,0,0
website application,Web Application,8,180,web application,A hybrid fuzzy rule-based multi-criteria framework for sustainable-security assessment of web application,"… an institutional web application to corroborate the efficiency of this approach. Despite the
web application's sensitivity, this study has used various versions of three web applications of …",0.03521804499033187,0,0
website application,Web Application,9,179,web application,From prompt injections to sql injection attacks: How protected is your llm-integrated web application?,"… If an application remains vulnerable to these threats, the … -integrated applications, and what
is their impact on application security? To study this question, we focus on web applications …",0.03519595219234867,0,0
website application,Web Application,10,80,mobile application,Consumer adoption of the Uber mobile application: Insights from diffusion of innovation theory and technology acceptance model,"… Uber mobile application are … mobile application was introduced. By comparing it to the
previous methods that the users have been utilizing, the overall evaluation of mobile applications’ …",0.03330975581059904,0,0
website application,Web Application,11,174,web application,ML-CKDP: Machine learning-based chronic kidney disease prediction with smart web application,"… for CKD classification and to develop a web-based application for CKD prediction. The proposed
… Additionally, we present a real-time web-based application to operationalize the model, …",0.03320597897431964,0,0
website application,Web Application,12,182,web application,Early web application attack detection using network traffic analysis,"… data used by the web application. Unlike the main trends in web application attack detection …
to detect malicious activities towards web applications by exploring web traffic as if it is …",0.032646647093284846,0,0
website application,Web Application,13,188,web application,Performance of Area under the Concentration-Time Curve Estimations of Vancomycin with Limited Sampling by a Newly Developed Web Application: Oda et al.,"… The aim of this study was to validate a newly developed web application, PAT, for AUC … the
web application using only the trough concentration. Our newly developed web application is …",0.03235002287506349,0,0
website application,Web Application,14,181,web application,Meta‐analytic structural equation modeling made easy: A tutorial and web application for one‐stage MASEM,"… application webMASEM is created using the package Shiny (Version 1.4.0.2) which facilitates
the creation of web applications … The application consists of four main tabs and a “Home” …",0.0321859648026151,0,0
website application,Web Application,15,90,mobile application,User interface design & evaluation of mobile applications,"… different mobile application designs for student projects besides the evaluation of mobile
application … of the interface design of the mobile application for student projects to solve design …",0.032142130108062994,0,0
website application,Web Application,16,98,mobile application,Design and implementation of smart hydroponics farming using IoT‐Based AI controller with mobile application system,"… of mobile application integrated … mobile application, which is connected over IoT environment.
In this manner, the farmer can continuously track the status of his field using the mobile app…",0.030142111336532496,0,0
website application,Web Application,17,184,web application,A multi-objective active learning platform and web app for reaction optimization,"… We developed EDBOWebApp, a web application that makes the Bayesian optimizer more
… This web application can be accessed at https://www.edbowebapp.com/ through a web …",0.02693958117579111,0,0
website application,Web Application,18,186,web application,… detection and quantification of floating marine macro-litter in aerial images: Introducing a novel deep learning approach connected to a web application in R,"… FMML in aerial images, and a web-oriented application that allows users to identify FMML
… The Shiny package of R was then used to develop a user-friendly application to identify and …",0.026107439071584665,0,0
website application,Web Application,19,166,web application,Machine learning based diabetes prediction and development of smart web application,"… We integrate this model in a web application using python flask web development framework.
The results of this study suggest that an appropriate preprocessing pipeline on clinical …",0.02591840578040049,0,0
website application,Web Application,20,152,web application,A survey on web application penetration testing,"… Due to their nature, web applications and services are prone to security risks because they …
the Internet and web applications become more widespread, every web application needs an …",0.025862521974089822,0,0
web system,Web Application,1,120,cyber security,Artificial intelligence in cyber security,"… For security preparation, the instance of a cyber security device specialist is one. This skilled
system enables substantially the collection and instruction of security initiatives to optimize …",0.19028170066044214,0,0
web system,Web Application,2,85,mobile application,A new mobile application of agricultural pests recognition using deep learning in cloud computing system,"… mobile application to automatically classify pests using a deep-learning solution for supporting
specialists and farmers. The developed application … our developed application for on-line …",0.16723423811232693,0,0
web system,Web Application,3,98,mobile application,Design and implementation of smart hydroponics farming using IoT‐Based AI controller with mobile application system,"… of mobile application integrated … mobile application, which is connected over IoT environment.
In this manner, the farmer can continuously track the status of his field using the mobile app…",0.1505523444028738,0,0
web system,Web Application,4,123,cyber security,"Review on cyber-physical and cyber-security system in smart grid: Standards, protocols, constraints, and recommendations","… cyber security principles, standards, and protocols. Finally, we discuss some challenges for
SG cyber-physical systems, cyber-attacks, and cyber security … of the cyber security systems …",0.1446181397124651,0,0
web system,Web Application,5,165,web application,Development of interactive biological web applications with R/Shiny,"… web techniques used to build biological web applications in recent studies To get a full picture
of the web techniques utilized to build biological web applications … issues of web servers …",0.11615455537993916,0,0
web system,Web Application,6,182,web application,Early web application attack detection using network traffic analysis,"… data used by the web application. Unlike the main trends in web application attack detection …
to detect malicious activities towards web applications by exploring web traffic as if it is …",0.10238363752097338,0,0
web system,Web Application,7,184,web application,A multi-objective active learning platform and web app for reaction optimization,"… We developed EDBOWebApp, a web application that makes the Bayesian optimizer more
… This web application can be accessed at https://www.edbowebapp.com/ through a web …",0.10138274743575865,0,0
web system,Web Application,8,153,web application,A comparative study of web application security parameters: Current trends and future directions,"… in the use of web applications. Businesses, industries, … web applications. This mammoth
rise in their usage has also resulted in many security issues that make these web applications …",0.09911152425051431,0,0
web system,Web Application,9,195,web application,RETRACTED ARTICLE: Analysis of security issues of cloud-based web applications,"… In this research, we analyze the security issues in web applications hosted on Cloud and …
vectors in a web application hosted on Cloud; Top 10 web application/Web sites chosen during …",0.09863136981805853,0,0
web system,Web Application,10,152,web application,A survey on web application penetration testing,"… Due to their nature, web applications and services are prone to security risks because they …
the Internet and web applications become more widespread, every web application needs an …",0.09732940969799278,0,0
web system,Web Application,11,172,web application,Securing web applications against XSS and SQLi attacks using a novel deep learning approach,"… all web application attacks, SQL injection and XSS attacks are common, which may lead to
severe damage to Web application data or web … for securing web applications from both cross-…",0.09399089915770875,0,0
web system,Web Application,12,180,web application,A hybrid fuzzy rule-based multi-criteria framework for sustainable-security assessment of web application,"… an institutional web application to corroborate the efficiency of this approach. Despite the
web application's sensitivity, this study has used various versions of three web applications of …",0.08835826949540909,0,0
web system,Web Application,13,167,web application,A systematic literature review on the characteristics and effectiveness of web application vulnerability scanners,"… web applications. Theses scanners have the capability of automatically evaluating the security
of web applications … analysts discover vulnerabilities in web applications. However, these …",0.08759739630435405,0,0
web system,Web Application,14,170,web application,Signature-based and machine-learning-based web application firewalls: A short survey,"… web applications typically relied on the simple common gateway interface, CGI, protocol
which spawned C or Perl programs. Attacks were concentrated at underlying web … web server …",0.08597633992641981,0,0
web system,Web Application,15,168,web application,"ATON: An open-source framework for creating immersive, collaborative and liquid web-apps for cultural heritage","… Web browsers are available on virtually all computing … applications (web-apps) from any
device, anywhere, as long as internet (or local network) connection is present. Web applications …",0.08166244484647675,0,0
web system,Web Application,16,189,web application,Toward an SDN-based web application firewall: Defending against SQL injection attacks,"… Web attacks pose a significant threat to enterprises, as attackers often target web applications
… the severity of these threats, such as web application firewalls (WAFs). On the other hand, …",0.08015063466792303,0,0
web system,Web Application,17,156,web application,BEST: a web application for comprehensive biomarker exploration on large-scale data in solid tumors,"… Currently, several open-access web servers that allow users … Although these web applications
are valuable and broadly … (BEST), a web-based application for comprehensive biomarker …",0.07769495767983693,0,0
web system,Web Application,18,193,web application,Splendor: Static detection of stored xss in modern web applications,"… ties in web applications. It mainly applies string analysis [22… 32] to reconstruct all SQL queries
in web applications and … and flexibility, modern web applications make extensive use of OO …",0.07762565391449676,0,0
web system,Web Application,19,155,web application,Front-end deep learning web apps development and deployment: a review,"… of these deep-learning web apps to raise awareness of the … web applications divided into
seven categories to show deep learning potential on the front end. These include web apps for …",0.07747824202421835,0,0
web system,Web Application,20,166,web application,Machine learning based diabetes prediction and development of smart web application,"… We integrate this model in a web application using python flask web development framework.
The results of this study suggest that an appropriate preprocessing pipeline on clinical …",0.0731547895091214,0,0
web application,Web Application,1,182,web application,Early web application attack detection using network traffic analysis,"… data used by the web application. Unlike the main trends in web application attack detection …
to detect malicious activities towards web applications by exploring web traffic as if it is …",0.3335905954621685,1,1
web application,Web Application,2,184,web application,A multi-objective active learning platform and web app for reaction optimization,"… We developed EDBOWebApp, a web application that makes the Bayesian optimizer more
… This web application can be accessed at https://www.edbowebapp.com/ through a web …",0.31413807370712366,1,1
web application,Web Application,3,180,web application,A hybrid fuzzy rule-based multi-criteria framework for sustainable-security assessment of web application,"… an institutional web application to corroborate the efficiency of this approach. Despite the
web application's sensitivity, this study has used various versions of three web applications of …",0.3090595119885323,1,1
web application,Web Application,4,152,web application,A survey on web application penetration testing,"… Due to their nature, web applications and services are prone to security risks because they …
the Internet and web applications become more widespread, every web application needs an …",0.3015786615661872,1,1
web application,Web Application,5,195,web application,RETRACTED ARTICLE: Analysis of security issues of cloud-based web applications,"… In this research, we analyze the security issues in web applications hosted on Cloud and …
vectors in a web application hosted on Cloud; Top 10 web application/Web sites chosen during …",0.2898608613580471,0,0
web application,Web Application,6,177,web application,Open Lab: A web application for running and sharing online experiments,"… as a web application on a desktop computer (the “Install app” link is displayed in the top
navigation bar). Progressive web application technology makes the application accessible via …",0.2879526546376966,0,0
web application,Web Application,7,172,web application,Securing web applications against XSS and SQLi attacks using a novel deep learning approach,"… all web application attacks, SQL injection and XSS attacks are common, which may lead to
severe damage to Web application data or web … for securing web applications from both cross-…",0.2762233054243014,0,0
web application,Web Application,8,153,web application,A comparative study of web application security parameters: Current trends and future directions,"… in the use of web applications. Businesses, industries, … web applications. This mammoth
rise in their usage has also resulted in many security issues that make these web applications …",0.2675289734271558,0,0
web application,Web Application,9,165,web application,Development of interactive biological web applications with R/Shiny,"… web techniques used to build biological web applications in recent studies To get a full picture
of the web techniques utilized to build biological web applications … issues of web servers …",0.26715645449258024,0,0
web application,Web Application,10,199,web application,CLC-Pred 2.0: a freely available web application for in silico prediction of human cell line cytotoxicity and molecular mechanisms of action for druglike …,"… In 2018, we developed the first freely available web application (… Here, we present a new
version of this web application: CLC-… extension of the capabilities of the initial web application. …",0.26655050020672133,0,0
web application,Web Application,11,157,web application,DeepCrop: Deep learning-based crop disease prediction with web application,"… a smart web application for real-life crop disease prediction. The proposed web application
aims to … The proposed application uses the ResNet50 transfer learning model at its heart to …",0.2652871784191231,0,0
web application,Web Application,12,189,web application,Toward an SDN-based web application firewall: Defending against SQL injection attacks,"… Web attacks pose a significant threat to enterprises, as attackers often target web applications
… the severity of these threats, such as web application firewalls (WAFs). On the other hand, …",0.24834961191931654,0,0
web application,Web Application,13,166,web application,Machine learning based diabetes prediction and development of smart web application,"… We integrate this model in a web application using python flask web development framework.
The results of this study suggest that an appropriate preprocessing pipeline on clinical …",0.24614476978542993,0,0
web application,Web Application,14,174,web application,ML-CKDP: Machine learning-based chronic kidney disease prediction with smart web application,"… for CKD classification and to develop a web-based application for CKD prediction. The proposed
… Additionally, we present a real-time web-based application to operationalize the model, …",0.24349887554447058,0,0
web application,Web Application,15,156,web application,BEST: a web application for comprehensive biomarker exploration on large-scale data in solid tumors,"… Currently, several open-access web servers that allow users … Although these web applications
are valuable and broadly … (BEST), a web-based application for comprehensive biomarker …",0.2407406088276111,0,0
web application,Web Application,16,188,web application,Performance of Area under the Concentration-Time Curve Estimations of Vancomycin with Limited Sampling by a Newly Developed Web Application: Oda et al.,"… The aim of this study was to validate a newly developed web application, PAT, for AUC … the
web application using only the trough concentration. Our newly developed web application is …",0.2372221641171252,0,0
web application,Web Application,17,167,web application,A systematic literature review on the characteristics and effectiveness of web application vulnerability scanners,"… web applications. Theses scanners have the capability of automatically evaluating the security
of web applications … analysts discover vulnerabilities in web applications. However, these …",0.23644920896344665,0,0
web application,Web Application,18,170,web application,Signature-based and machine-learning-based web application firewalls: A short survey,"… web applications typically relied on the simple common gateway interface, CGI, protocol
which spawned C or Perl programs. Attacks were concentrated at underlying web … web server …",0.23207353668985592,0,0
web application,Web Application,19,179,web application,From prompt injections to sql injection attacks: How protected is your llm-integrated web application?,"… If an application remains vulnerable to these threats, the … -integrated applications, and what
is their impact on application security? To study this question, we focus on web applications …",0.20731699578556415,0,0
web application,Web Application,20,151,web application,Web application development with streamlit,"… web applications of their own, from the most basic use cases to crafting complex and distributed
applications on … should be able to interface their web applications with robust server-side …",0.2007411275715164,0,0
cyber security,Cyber Security,1,106,cyber security,A systematic literature review on the cyber security,"… of cyber security kinds, why cyber security is important, cyber security framework, cyber
security tools, and cyber security … Cyber security safeguards the data and integrity of computing …",0.7214234485877206,1,1
cyber security,Cyber Security,2,111,cyber security,Analysis of cyber security knowledge gaps based on cyber security body of knowledge,"… gap between cyber security education and … in cyber security graduates who join the cyber
security workforce. We designed and performed an opinion survey by using the Cyber Security …",0.5174118533833865,1,1
cyber security,Cyber Security,3,126,cyber security,"A comprehensive review of cyber security vulnerabilities, threats, attacks, and solutions","… In summary, cyber security ensures the security of virtual life on cyber networks. The … under
the name of cyber security [4]. The primary purpose of cyber security is to secure the data of …",0.5004464435770992,1,1
cyber security,Cyber Security,4,116,cyber security,Artificial intelligence-based cyber security in the context of industry 4.0—a survey,"… technology has increased the cyber-attack surface. In this … of cyber criminals, to develop
knowledge for cyber security … based cyber-attacks and to analyze them for deriving cyber security …",0.4701393492584729,1,1
cyber security,Cyber Security,5,135,cyber security,The role of cyber security in a digitalizing economy: a development perspective,"… , cyber security and information security are not the same thing. (Spremić, 2018) in an article
titled “Cyber security … the transition from information security to cyber security, primarily as a …",0.453087470854433,1,1
