query,kategori,rank,article_id,title,similarity_score,relevan
web development,Web Development,6,94,Current web development technologies: a comparative review,0.41413616467225256,
web development,Web Development,7,66,Llms in web development: Evaluating llm-generated php code unveiling vulnerabilities and limitations,0.4122290628083931,
web development,Web Development,8,97,Cognitive disabilities and web accessibility: a survey into the Brazilian web development community,0.4093025643457612,
web development,Web Development,9,53,Web Developer and Tech Preneurs,0.4060375043697519,
web development,Web Development,10,83,Program Pelatihan Web Development untuk Komunitas Maya,0.3991261862527548,
web application,Web Development,1,67,Web accessibility and web developer attitudes towards accessibility in Mozambique,0.3083045160812964,
web application,Web Development,2,181,A new mobile application of agricultural pests recognition using deep learning in cloud computing system,0.30779756810904213,
web application,Web Development,3,159,Deep learning methods for accurate skin cancer recognition and mobile application,0.2984995311732634,
web application,Web Development,4,166,Towards a new learning experience through a mobile application with augmented reality in engineering education,0.2896325328249319,
web application,Web Development,5,66,Llms in web development: Evaluating llm-generated php code unveiling vulnerabilities and limitations,0.28236980200304396,
web application,Web Development,6,51,An empirical study of web services topics in web developer discussions on stack overflow,0.2741327054556327,
web application,Web Development,7,80,Responsive web design and its impact on user experience,0.2714248781080381,
web application,Web Development,8,195,User experience analysis on mobile application design using user experience questionnaire,0.26814816212039444,
web application,Web Development,9,97,Cognitive disabilities and web accessibility: a survey into the Brazilian web development community,0.25660684903893055,
web application,Web Development,10,91,Progressive web apps (PWAs): Enhancing user experience through modern web development,0.24791074396957366,
cyber security,Cyber Security,1,106,A systematic literature review on the cyber security,0.8091451798530449,
cyber security,Cyber Security,2,111,Analysis of cyber security knowledge gaps based on cyber security body of knowledge,0.659827670019911,
cyber security,Cyber Security,3,132,The difference between cyber security vs information security,0.5946764516593551,
cyber security,Cyber Security,4,129,"A comprehensive review of cyber security vulnerabilities, threats, attacks, and solutions",0.5927841583283529,
cyber security,Cyber Security,5,137,Defining cyber security and cyber security risk within a multidisciplinary context using expert elicitation,0.5736117338109537,
cyber security,Cyber Security,6,139,The role of cyber security in a digitalizing economy: a development perspective,0.5692452867292848,
cyber security,Cyber Security,7,119,Artificial intelligence-based cyber security in the context of industry 4.0—a survey,0.561738816861303,
cyber security,Cyber Security,8,149,Cyber security and the Leviathan,0.5410477646701544,
cyber security,Cyber Security,9,126,"Review on cyber-physical and cyber-security system in smart grid: Standards, protocols, constraints, and recommendations",0.5397366764254056,
cyber security,Cyber Security,10,141,Evolution of the cyber security threat: an overview of the scale of cyber threat,0.5319119957287073,
network security,Cyber Security,1,150,Artificial intelligence in the cyber security environment,0.3346430122397161,
network security,Cyber Security,2,114,"Artificial intelligence in cyber security: Research advances, challenges, and opportunities.",0.3030091721197283,
network security,Cyber Security,3,106,A systematic literature review on the cyber security,0.2817074871871789,
network security,Cyber Security,4,132,The difference between cyber security vs information security,0.2752598904542554,
network security,Cyber Security,5,139,The role of cyber security in a digitalizing economy: a development perspective,0.2374122407649083,
network security,Cyber Security,6,111,Analysis of cyber security knowledge gaps based on cyber security body of knowledge,0.22972193312903255,
network security,Cyber Security,7,130,"Cyber security techniques, architectures, and design",0.21776838065205065,
network security,Cyber Security,8,129,"A comprehensive review of cyber security vulnerabilities, threats, attacks, and solutions",0.20638043684246596,
network security,Cyber Security,9,137,Defining cyber security and cyber security risk within a multidisciplinary context using expert elicitation,0.1997054721160329,
network security,Cyber Security,10,124,Artificial intelligence in cyber security,0.18928317587004248,
mobile application,Mobile Application,1,159,Deep learning methods for accurate skin cancer recognition and mobile application,0.4752347485648869,
mobile application,Mobile Application,2,186,User interface design & evaluation of mobile applications,0.4291396878278073,
mobile application,Mobile Application,3,195,User experience analysis on mobile application design using user experience questionnaire,0.42691298007250067,
mobile application,Mobile Application,4,176,Consumer adoption of the Uber mobile application: Insights from diffusion of innovation theory and technology acceptance model,0.42307163210269527,
mobile application,Mobile Application,5,181,A new mobile application of agricultural pests recognition using deep learning in cloud computing system,0.40332446576935377,
mobile application,Mobile Application,6,191,Design and implementation of smart hydroponics farming using IoT‐Based AI controller with mobile application system,0.39804974720338926,
mobile application,Mobile Application,7,166,Towards a new learning experience through a mobile application with augmented reality in engineering education,0.3795217983322617,
mobile application,Mobile Application,8,197,Human monkeypox classification from skin lesion images with deep pre-trained network using mobile application,0.34871385172995417,
mobile application,Mobile Application,9,157,The role of mobile application acceptance in shaping e-customer service,0.3345117790140771,
mobile application,Mobile Application,10,192,Enhancing English vocabulary learning through mobile apps: A new paradigm in educational technology,0.31626391991819885,
android application,Mobile Application,1,197,Human monkeypox classification from skin lesion images with deep pre-trained network using mobile application,0.27773130145435576,
android application,Mobile Application,2,181,A new mobile application of agricultural pests recognition using deep learning in cloud computing system,0.20267711853592632,
android application,Mobile Application,3,159,Deep learning methods for accurate skin cancer recognition and mobile application,0.19655459019445276,
android application,Mobile Application,4,166,Towards a new learning experience through a mobile application with augmented reality in engineering education,0.1907158901477195,
android application,Mobile Application,5,195,User experience analysis on mobile application design using user experience questionnaire,0.17656896112971404,
android application,Mobile Application,6,186,User interface design & evaluation of mobile applications,0.15876112054129693,
android application,Mobile Application,7,176,Consumer adoption of the Uber mobile application: Insights from diffusion of innovation theory and technology acceptance model,0.15651623069831327,
android application,Mobile Application,8,72,Review on study and usage of mern stack for web development,0.1510896535265905,
android application,Mobile Application,9,179,Consistency analysis of data-usage purposes in mobile apps,0.14792432896278024,
android application,Mobile Application,10,191,Design and implementation of smart hydroponics farming using IoT‐Based AI controller with mobile application system,0.14725933230987256,
data mining,Machine Learning,1,127,Cyber risk and cybersecurity: a systematic review of data availability,0.18401369906912837,
data mining,Machine Learning,2,47,Evolutionary machine learning: A survey,0.16876651409901577,
data mining,Machine Learning,3,179,Consistency analysis of data-usage purposes in mobile apps,0.12456499308435648,
data mining,Machine Learning,4,182,Text mining approach to explore determinants of grocery mobile app satisfaction using online customer reviews,0.11777232581051032,
data mining,Machine Learning,5,41,"Machine learning: Algorithms, real-world applications and research directions",0.07874813523677424,
data mining,Machine Learning,6,28,Machine learning: new ideas and tools in environmental science and engineering,0.07838844117216776,
data mining,Machine Learning,7,48,Machine learning in manufacturing and industry 4.0 applications,0.07753233615827038,
data mining,Machine Learning,8,46,Machine Learning for industrial applications: A comprehensive literature review,0.07344020491817145,
data mining,Machine Learning,9,150,Artificial intelligence in the cyber security environment,0.07309502724509583,
data mining,Machine Learning,10,4,Amnesiac machine learning,0.07204170312133396,
software security,Cyber Security,1,73,The role of APIs in modern web development: Enhancing system integrations,0.3013762755422635,
software security,Cyber Security,2,106,A systematic literature review on the cyber security,0.26595201262564233,
software security,Cyber Security,3,132,The difference between cyber security vs information security,0.25986502024627345,
software security,Cyber Security,4,139,The role of cyber security in a digitalizing economy: a development perspective,0.22413413247848019,
software security,Cyber Security,5,111,Analysis of cyber security knowledge gaps based on cyber security body of knowledge,0.2168739321412682,
software security,Cyber Security,6,130,"Cyber security techniques, architectures, and design",0.20558892381215962,
software security,Cyber Security,7,129,"A comprehensive review of cyber security vulnerabilities, threats, attacks, and solutions",0.19483789051138545,
software security,Cyber Security,8,137,Defining cyber security and cyber security risk within a multidisciplinary context using expert elicitation,0.18853624648720477,
software security,Cyber Security,9,124,Artificial intelligence in cyber security,0.17869685353929882,
software security,Cyber Security,10,149,Cyber security and the Leviathan,0.17783303358090313,
