id,title,abstract,authors,year,source,category,pdf_url,url,scrape_status,cleaned_text
11,Using machine learning to detect misstatements,"… Intuitively, a machine learning algorithm can be taught to … Machine learning algorithms
capture the relationship … We also examine a number of alternative machine learning approaches …","J Bertomeu, E Cheynel, E Floyd, W Pan",2021,Review of Accounting Studies,machine learning,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=3496297,https://link.springer.com/article/10.1007/s11142-020-09563-8,pdf_failed,using machine learning to detect misstatements intuitively machine learning algorithm can be taught to machine learning algorithms capture the relationship we also examine number of alternative machine learning approaches
12,A survey on the explainability of supervised machine learning,"… In the following sections, we structure the area of explainable supervised machine learning.
First, we describe the problem definitions and dimensions. Next, we introduce interpretable …","N Burkart, MF Huber",2021,Journal of Artificial Intelligence Research,machine learning,https://www.jair.org/index.php/jair/article/download/12228/26647,https://www.jair.org/index.php/jair/article/view/12228,pdf_downloaded,survey on the explainability of supervised machine learning in the following sections we structure the area of explainable supervised machine learning first we describe the problem definitions and dimensions next we introduce interpretable
13,Challenges in deploying machine learning: a survey of case studies,"… This survey reviews published reports of deploying machine learning … of the machine
learning deployment workflow. By mapping found challenges to the steps of the machine learning …","A Paleyes, RG Urma, ND Lawrence",2022,ACM computing surveys,machine learning,https://dl.acm.org/doi/pdf/10.1145/3533378,https://dl.acm.org/doi/abs/10.1145/3533378,pdf_failed,challenges in deploying machine learning survey of case studies this survey reviews published reports of deploying machine learning of the machine learning deployment workflow by mapping found challenges to the steps of the machine learning
14,"Machine learning operations (mlops): Overview, definition, and architecture","… ABSTRACT The final goal of all industrial machine learning (ML) projects is to develop
ML … The paradigm of Machine Learning Operations (MLOps) addresses this issue. MLOps …","D Kreuzberger, N Kühl, S Hirschl",2023,IEEE access,machine learning,https://ieeexplore.ieee.org/iel7/6287639/6514899/10081336.pdf,https://ieeexplore.ieee.org/abstract/document/10081336/,pdf_failed,machine learning operations mlops overview definition and architecture abstract the final goal of all industrial machine learning ml projects is to develop ml the paradigm of machine learning operations mlops addresses this issue mlops
15,A survey on dataset quality in machine learning,"… of dataset quality in machine learning, including the definition of … of machine learning,
which can help improve the accuracy, efficiency, and generalization ability of machine learning …","Y Gong, G Liu, Y Xue, R Li, L Meng",2023,Information and Software Technology,machine learning,https://www.sciencedirect.com/science/article/pii/S0950584923001222,https://www.sciencedirect.com/science/article/pii/S0950584923001222,pdf_failed,survey on dataset quality in machine learning of dataset quality in machine learning including the definition of of machine learning which can help improve the accuracy efficiency and generalization ability of machine learning
16,A review of the application of machine learning in water quality evaluation,"… Additionally, machine learning can provide solutions for water … In this review, we describe
the cases in which machine learning … of machine learning approaches to water environments. …","M Zhu, J Wang, X Yang, Y Zhang, L Zhang…",2022,Eco-Environment & …,machine learning,https://www.sciencedirect.com/science/article/pii/S2772985022000163,https://www.sciencedirect.com/science/article/pii/S2772985022000163,pdf_failed,review of the application of machine learning in water quality evaluation additionally machine learning can provide solutions for water in this review we describe the cases in which machine learning of machine learning approaches to water environments
17,Agricultural databases evaluation with machine learning procedure,"… machine learning techniques to agricultural databases. W e have designed and implemented
a machine learning … dataset using a variety of machine learning schemes, and has several …","M Amini, A Rahmani",2023,… Journal of Engineering and Applied Science,machine learning,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4331902,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4331902,pdf_failed,agricultural databases evaluation with machine learning procedure machine learning techniques to agricultural databases have designed and implemented machine learning dataset using variety of machine learning schemes and has several
18,An overview of machine learning classification techniques,"… statistical learning and pattern recognition, machine learning now … between statistics and
machine learning is evident, with … core of machine learning lies the concept of self-learning, a …","AFAH Alnuaimi, THK Albaldawi",2024,BIO Web of Conferences,machine learning,https://www.bio-conferences.org/articles/bioconf/pdf/2024/16/bioconf_iscku2024_00133.pdf,https://www.bio-conferences.org/articles/bioconf/abs/2024/16/bioconf_iscku2024_00133/bioconf_iscku2024_00133.html,pdf_downloaded,an overview of machine learning classification techniques statistical learning and pattern recognition machine learning now between statistics and machine learning is evident with core of machine learning lies the concept of selflearning
19,A systematic review of teaching and learning machine learning in K-12 education,"… from being a contribution to the field of machine learning education as it systematically
synthesizes research conducted on teaching and learning machine learning at K-12 levels. The …","IT Sanusi, SS Oyelere, H Vartiainen, J Suhonen…",2023,Education and …,machine learning,https://link.springer.com/article/10.1007/s10639-022-11416-7,https://link.springer.com/article/10.1007/s10639-022-11416-7,pdf_failed,systematic review of teaching and learning machine learning in education from being contribution to the field of machine learning education as it systematically synthesizes research conducted on teaching and learning machine learning at levels the
20,A survey of human-in-the-loop for machine learning,"… posed by machine learning … machine learning. Human-in-the-loop is an area that we see
as increasingly important in future research due to the knowledge learned by machine learning …","X Wu, L Xiao, Y Sun, J Zhang, T Ma, L He",2022,Future Generation Computer …,machine learning,https://arxiv.org/pdf/2108.00941,https://www.sciencedirect.com/science/article/pii/S0167739X22001790,pdf_downloaded,survey of humanintheloop for machine learning posed by machine learning machine learning humanintheloop is an area that we see as increasingly important in future research due to the knowledge learned by machine learning
21,Machine learning for alloys,"… Pairing machine learning and alloys has proven to be … This Review examines the present
state of machine-learning-driven … We foresee that the partnership between machine learning …","GLW Hart, T Mueller, C Toher, S Curtarolo",2021,Nature Reviews Materials,machine learning,https://par.nsf.gov/servlets/purl/10297524,https://www.nature.com/articles/s41578-021-00340-w,pdf_failed,machine learning for alloys pairing machine learning and alloys has proven to be this review examines the present state of machinelearningdriven we foresee that the partnership between machine learning
22,Machine learning in economics and finance,"… Machine Learning (ML) was introduced by Arthur Samuel while working for IBM in 1959, mainly
to describe the pattern recognition tasks that delivered the “learning… of Machine Learning …","P Gogas, T Papadimitriou",2021,Computational Economics,machine learning,https://link.springer.com/article/10.1007/S10614-021-10094-W,https://link.springer.com/article/10.1007/S10614-021-10094-W,pdf_failed,machine learning in economics and finance machine learning ml was introduced by arthur samuel while working for ibm in mainly to describe the pattern recognition tasks that delivered the learning of machine learning
23,Machine learning and applications in microbiology,"… Applying machine learning to address biological problems is expected … machine learning
practitioner. These key points are further reinforced with an evaluation of how machine learning …","SJ Goodswen, JLN Barratt, PJ Kennedy…",2021,FEMS microbiology …,machine learning,https://academic.oup.com/femsre/article-pdf/45/5/fuab015/41722961/fuab015.pdf,https://academic.oup.com/femsre/article-abstract/45/5/fuab015/6174022,pdf_failed,machine learning and applications in microbiology applying machine learning to address biological problems is expected machine learning practitioner these key points are further reinforced with an evaluation of how machine learning
24,OMLT: Optimization & machine learning toolkit,"… The optimization and machine learning toolkit (OMLT) is an open-source software package
… models, which have been trained using machine learning, into larger optimization problems. …","F Ceccon, J Jalving, J Haddad, A Thebelt…",2022,… of Machine Learning …,machine learning,https://www.jmlr.org/papers/volume23/22-0277/22-0277.pdf,http://www.jmlr.org/papers/v23/22-0277.html,pdf_downloaded,omlt optimization machine learning toolkit the optimization and machine learning toolkit omlt is an opensource software package models which have been trained using machine learning into larger optimization problems
25,Machine learning in chemical engineering: A perspective,"… and application of machine learning with a focus on deep learning and probabilistic models.
… algorithms of statistical machine learning, especially unsupervised deep learning, and its …","AM Schweidtmann, E Esche, A Fischer…",2021,Chemie Ingenieur …,machine learning,https://onlinelibrary.wiley.com/doi/pdf/10.1002%2Fcite.202100083,https://onlinelibrary.wiley.com/doi/abs/10.1002/cite.202100083,pdf_failed,machine learning in chemical engineering perspective and application of machine learning with focus on deep learning and probabilistic models algorithms of statistical machine learning especially unsupervised deep learning and its
26,Human-in-the-loop machine learning: a state of the art,"… Researchers are defining new types of interactions between humans and machine learning
… machine learning (HITL-ML) (Munro 2020). The idea is not only to make machine learning …","E Mosqueira-Rey, E Hernández-Pereira…",2023,Artificial Intelligence …,machine learning,https://link.springer.com/article/10.1007/s10462-022-10246-w,https://link.springer.com/article/10.1007/s10462-022-10246-w,pdf_failed,humanintheloop machine learning state of the art researchers are defining new types of interactions between humans and machine learning machine learning hitlml munro the idea is not only to make machine learning
27,Causality for machine learning,"… for Machine Learning In spite of all recent successes, if we compare what machine learning
… This shortcoming is not too surprising since machine learning often disregards information …",B Schölkopf,2022,Probabilistic and causal inference: The works of Judea …,machine learning,https://arxiv.org/pdf/1911.10500,https://dl.acm.org/doi/abs/10.1145/3501714.3501755,pdf_downloaded,causality for machine learning for machine learning in spite of all recent successes if we compare what machine learning this shortcoming is not too surprising since machine learning often disregards information
28,Machine learning: new ideas and tools in environmental science and engineering,"… Machine learning has the potential to revolutionize data analysis and modeling in the …
shortcomings, challenges, and opportunities for applications of machine learning in the ESE field. …","S Zhong, K Zhang, M Bagheri, JG Burken…",2021,… science & technology,machine learning,https://par.nsf.gov/servlets/purl/10289361,https://pubs.acs.org/doi/abs/10.1021/acs.est.1c01339,pdf_failed,machine learning new ideas and tools in environmental science and engineering machine learning has the potential to revolutionize data analysis and modeling in the shortcomings challenges and opportunities for applications of machine learning in the ese field
29,Scope of machine learning in materials research—A review,"This comprehensive review investigates the multifaceted applications of machine learning in
materials research across six key dimensions, redefining the field's boundaries. It explains …","MH Mobarak, MA Mimona, MA Islam, N Hossain…",2023,Applied Surface Science …,machine learning,https://www.sciencedirect.com/science/article/pii/S2666523923001575,https://www.sciencedirect.com/science/article/pii/S2666523923001575,pdf_failed,scope of machine learning in materials research a review this comprehensive review investigates the multifaceted applications of machine learning in materials research across six key dimensions redefining the fields boundaries it explains
30,Machine learning for biochemical engineering: A review,"… use of machine learning within biochemical engineering over the last 20 years. The most
prevalent machine learning … Finally, core challenges into the application of machine learning in …","M Mowbray, T Savage, C Wu, Z Song, BA Cho…",2021,Biochemical …,machine learning,https://www.sciencedirect.com/science/article/pii/S1369703X21001303,https://www.sciencedirect.com/science/article/pii/S1369703X21001303,pdf_failed,machine learning for biochemical engineering review use of machine learning within biochemical engineering over the last years the most prevalent machine learning finally core challenges into the application of machine learning in
31,Participation is not a design fix for machine learning,"… machine learning. It examines three existing kinds of participation in design practice and
machine learning … justice – to argue that the machine learning community must become attuned …","M Sloane, E Moss, O Awomolo, L Forlano",2022,Proceedings of the 2nd ACM …,machine learning,https://dl.acm.org/doi/pdf/10.1145/3551624.3555285,https://dl.acm.org/doi/abs/10.1145/3551624.3555285,pdf_failed,participation is not design fix for machine learning machine learning it examines three existing kinds of participation in design practice and machine learning justice to argue that the machine learning community must become attuned
32,Machine learning for a sustainable energy future,"… Here we explore the extent to which machine learning (ML) techniques can help to address
many of these challenges 8,9,10 . ML models can be used to predict specific properties of …","Z Yao, Y Lum, A Johnston, LM Mejia-Mendoza…",2023,Nature Reviews …,machine learning,https://www.nature.com/articles/s41578-022-00490-5,https://www.nature.com/articles/s41578-022-00490-5,pdf_failed,machine learning for sustainable energy future here we explore the extent to which machine learning ml techniques can help to address many of these challenges ml models can be used to predict specific properties of
33,Understanding from machine learning models,"… the opposite direction by utilizing opaque machine learning models to make predictions and
… or pragmatic good when they choose a machine learning model? Or are the assumptions …",E Sullivan,2022,The British Journal for the Philosophy of Science,machine learning,https://philsci-archive.pitt.edu/16276/1/Und_MLM_Sullivan_penultiamte.pdf,https://www.journals.uchicago.edu/doi/full/10.1093/bjps/axz035,pdf_downloaded,understanding from machine learning models the opposite direction by utilizing opaque machine learning models to make predictions and or pragmatic good when they choose machine learning model or are the assumptions
34,Machine learning at the network edge: A survey,"… This section describes the low-power hardware that have been used in edge machine
learning systems. High performance from a deep learning application is only achievable when an …","MGS Murshed, C Murphy, D Hou, N Khan…",2021,ACM Computing …,machine learning,https://dl.acm.org/doi/pdf/10.1145/3469029,https://dl.acm.org/doi/abs/10.1145/3469029,pdf_failed,machine learning at the network edge survey this section describes the lowpower hardware that have been used in edge machine learning systems high performance from deep learning application is only achievable when an
35,Financial applications of machine learning: A literature review,"… of machine learning and deep learning in … on machine learning in finance. The study finally
points out possible research directions which might lead to new inquiries in machine learning …","N Nazareth, YVR Reddy",2023,Expert Systems with Applications,machine learning,,https://www.sciencedirect.com/science/article/pii/S0957417423001410,no_pdf,financial applications of machine learning literature review of machine learning and deep learning in on machine learning in finance the study finally points out possible research directions which might lead to new inquiries in machine learning
36,Machine learning for chemical reactions,"… Machine learning (ML) … using machine-learned neural network potentials. This review
provides an overview of the questions that can and have been addressed using machine learning …",M Meuwly,2021,Chemical Reviews,machine learning,https://drive.google.com/file/d/1pvdfcgd8acUZLHns-dDf5utX26U-rMdC/view,https://pubs.acs.org/doi/abs/10.1021/acs.chemrev.1c00033,pdf_failed,machine learning for chemical reactions machine learning ml using machinelearned neural network potentials this review provides an overview of the questions that can and have been addressed using machine learning
37,The role of machine learning algorithms for diagnosing diseases,"… the machine learning … machine, K-nearest neighbor, K-means clustering, decision tree, and
random forest. In this work, many previous studies were reviewed that used machine learning …","I Ibrahim, A Abdulazeez",2021,Journal of Applied Science and Technology …,machine learning,https://jastt.org/index.php/jasttpath/article/download/79/23,https://jastt.org/index.php/jasttpath/article/view/79,pdf_failed,the role of machine learning algorithms for diagnosing diseases the machine learning machine knearest neighbor kmeans clustering decision tree and random forest in this work many previous studies were reviewed that used machine learning
38,Scientific machine learning benchmarks,"… frameworks, computer architectures and machine learning models… metrics for the application
of machine learning methods to open, … Here, we introduce the concept of machine learning …","J Thiyagalingam, M Shankar, G Fox, T Hey",2022,Nature Reviews Physics,machine learning,https://arxiv.org/pdf/2110.12773,https://www.nature.com/articles/s42254-022-00441-7,pdf_downloaded,scientific machine learning benchmarks frameworks computer architectures and machine learning models metrics for the application of machine learning methods to open here we introduce the concept of machine learning
39,When machine learning meets privacy: A survey and outlook,"… problems and machine learning is … machine learning. The survey covers three categories
of interactions between privacy and machine learning: (i) private machine learning, (ii) machine …","B Liu, M Ding, S Shaham, W Rahayu…",2021,ACM Computing …,machine learning,https://dl.acm.org/doi/pdf/10.1145/3436755,https://dl.acm.org/doi/abs/10.1145/3436755,pdf_failed,when machine learning meets privacy survey and outlook problems and machine learning is machine learning the survey covers three categories of interactions between privacy and machine learning private machine learning ii machine
40,Machine learning and deep learning: A review of methods and applications,"… machine learning and deep learning, their differences, applications, and their impact on various
industries. Machine learning and deep learning … of machine learning and deep learning, …","K Sharifani, M Amini",2023,World Information Technology and …,machine learning,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4458723,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4458723,pdf_failed,machine learning and deep learning review of methods and applications machine learning and deep learning their differences applications and their impact on various industries machine learning and deep learning of machine learning and deep learning
41,"Machine learning: Algorithms, real-world applications and research directions","… learning methods, can intelligently analyze the data on a large scale. In this paper, we present
a comprehensive view on these machine learning … different machine learning techniques …",IH Sarker,2021,SN computer science,machine learning,https://pmc.ncbi.nlm.nih.gov/articles/PMC7983091/pdf/42979_2021_Article_592.pdf,https://link.springer.com/article/10.1007/s42979-021-00592-x?fbclid=IwZXh0bgNhZW0CMTAAAR02Cm9YP1Zt6yeInKP1j8oTuqcL1hBLDI_e12ZHAmAZFSvQ9ZJhcNzwWwk_aem_AUwfuJxGFPyfCFrc4nc4DaoQIs6n1pky5rXbFsbXuLrqDY3pygajVY0zCo7w4Cq8s_cnvHksyorQtXexcFZYs_l,pdf_failed,machine learning algorithms realworld applications and research directions learning methods can intelligently analyze the data on large scale in this paper we present comprehensive view on these machine learning different machine learning techniques
42,Applying machine learning to study fluid mechanics,"… This paper provides a short overview of how to use machine learning to build data-driven
models in fluid mechanics. The process of machine learning is broken down into five stages: (1…",SL Brunton,2021,Acta Mechanica Sinica,machine learning,https://link.springer.com/article/10.1007/s10409-021-01143-6,https://link.springer.com/article/10.1007/s10409-021-01143-6,pdf_failed,applying machine learning to study fluid mechanics this paper provides short overview of how to use machine learning to build datadriven models in fluid mechanics the process of machine learning is broken down into five stages
43,Machine learning and deep learning applications-a vision,"… Deep learning had been analysed and implemented in … survey for machine learning along
with deep learning applications in … , for machine learning along with deep neural learning are …","N Sharma, R Sharma, N Jindal",2021,Global Transitions Proceedings,machine learning,https://www.sciencedirect.com/science/article/pii/S2666285X21000042,https://www.sciencedirect.com/science/article/pii/S2666285X21000042,pdf_failed,machine learning and deep learning applicationsa vision deep learning had been analysed and implemented in survey for machine learning along with deep learning applications in for machine learning along with deep neural learning are
44,Tackling climate change with machine learning,"Climate change is one of the greatest challenges facing humanity, and we, as machine
learning (ML) experts, may wonder how we can help. Here we describe how ML can be a …","D Rolnick, PL Donti, LH Kaack, K Kochanski…",2022,ACM Computing …,machine learning,https://dl.acm.org/doi/pdf/10.1145/3485128?utm_source=jesper&utm_medium=email&utm_campaign=are-frogs-happier-because-they-eat-what-bugs-them,https://dl.acm.org/doi/abs/10.1145/3485128,pdf_failed,tackling climate change with machine learning climate change is one of the greatest challenges facing humanity and we as machine learning ml experts may wonder how we can help here we describe how ml can be
45,Machine learning algorithms for social media analysis: A survey,"… of machine learning algorithms, which are used in SM analysis. After that, we provide a detailed
survey of machine learning … challenges and benefits of Machine Learning usages in SM …","TK Balaji, CSR Annavarapu, A Bablani",2021,Computer Science Review,machine learning,,https://www.sciencedirect.com/science/article/pii/S1574013721000356,no_pdf,machine learning algorithms for social media analysis survey of machine learning algorithms which are used in sm analysis after that we provide detailed survey of machine learning challenges and benefits of machine learning usages in sm
46,Machine Learning for industrial applications: A comprehensive literature review,"Abstract Machine Learning (ML) is a branch of artificial intelligence that studies algorithms
able to learn autonomously, directly from the input data. Over the last decade, ML techniques …","M Bertolini, D Mezzogori, M Neroni…",2021,Expert Systems with …,machine learning,,https://www.sciencedirect.com/science/article/pii/S095741742100261X,no_pdf,machine learning for industrial applications comprehensive literature review abstract machine learning ml is branch of artificial intelligence that studies algorithms able to learn autonomously directly from the input data over the last decade ml techniques
47,Evolutionary machine learning: A survey,"… vectors pruning, and ensemble learning). This article … learning, clustering, association rule
mining, and ensemble methods. For each category, we discuss evolutionary machine learning …","A Telikani, A Tahmassebi, W Banzhaf…",2021,ACM Computing …,machine learning,https://dl.acm.org/doi/pdf/10.1145/3467477,https://dl.acm.org/doi/abs/10.1145/3467477,pdf_failed,evolutionary machine learning survey vectors pruning and ensemble learning this article learning clustering association rule mining and ensemble methods for each category we discuss evolutionary machine learning
48,Machine learning in manufacturing and industry 4.0 applications,"… learning from data, detect prevalent underlying patterns and make informed decisions.
Industries have been successful in the application of machine learning mainly … Machine learning …","R Rai, MK Tiwari, D Ivanov, A Dolgui",2021,International Journal of …,machine learning,https://www.tandfonline.com/doi/pdf/10.1080/00207543.2021.1956675,https://www.tandfonline.com/doi/abs/10.1080/00207543.2021.1956675,pdf_failed,machine learning in manufacturing and industry applications learning from data detect prevalent underlying patterns and make informed decisions industries have been successful in the application of machine learning mainly machine learning
49,Enhancing computational fluid dynamics with machine learning,"… Machine learning is rapidly becoming a core technology for scientific computing, with …
We also discuss emerging areas of machine learning that are promising for computational …","R Vinuesa, SL Brunton",2022,Nature Computational Science,machine learning,https://arxiv.org/pdf/2110.02085,https://www.nature.com/articles/s43588-022-00264-7,pdf_downloaded,enhancing computational fluid dynamics with machine learning machine learning is rapidly becoming core technology for scientific computing with we also discuss emerging areas of machine learning that are promising for computational
50,Machine learning in environmental research: common pitfalls and best practices,"… Machine learning (ML) is increasingly used in environmental research to process large data
… By analyzing good examples on supervised learning and reference modeling paradigms, …","JJ Zhu, M Yang, ZJ Ren",2023,Environmental Science & Technology,machine learning,https://drive.google.com/file/d/1xH8KHLfrPFLaIUUEOCPdX3Bn9bLP42y4/view,https://pubs.acs.org/doi/abs/10.1021/acs.est.3c00026,pdf_failed,machine learning in environmental research common pitfalls and best practices machine learning ml is increasingly used in environmental research to process large data by analyzing good examples on supervised learning and reference modeling paradigms
51,An empirical study of web services topics in web developer discussions on stack overflow,"… that the client developers face due to using WSs to develop web and mobile applications. The
… client application developers by using the questions posted by web developers on the SO. …","K Mahmood, G Rasool, F Sabir, A Athar",2023,IEEE Access,web developer,https://ieeexplore.ieee.org/iel7/6287639/6514899/10024284.pdf,https://ieeexplore.ieee.org/abstract/document/10024284/,pdf_failed,an empirical study of web services topics in web developer discussions on stack overflow that the client developers face due to using wss to develop web and mobile applications the client application developers by using the questions posted by web developers on the so
52,Educational content of modern web developer training,"… set out by employers for web developers. In addition, the paper … in the field of web development
and design. Six main skill groups … who aspires to work in the field of web development. …","VY Golchevskiy, AV Yermolenko",2023,Informatics and Education,web developer,https://scholar.archive.org/work/ieatmnqi7zbjnjzimewqkbawjy/access/wayback/https://info.infojournal.ru/jour/article/download/873/618,https://scholar.archive.org/work/ieatmnqi7zbjnjzimewqkbawjy/access/wayback/https://info.infojournal.ru/jour/article/download/873/618,pdf_downloaded,educational content of modern web developer training set out by employers for web developers in addition the paper in the field of web development and design six main skill groups who aspires to work in the field of web development
53,Web Developer and Tech Preneurs,"… of duties that are often referred to as web development. “Web development” is a term used
by web experts to describe the two main non-design components of creating websites: writing …","S Rashid, RK Gupta",2024,Skill Development and Start-Ups in …,web developer,,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003532545-15/web-developer-tech-preneurs-shafiya-rashid-gupta,no_pdf,web developer and tech preneurs of duties that are often referred to as web development web development is term used by web experts to describe the two main nondesign components of creating websites writing
54,Accessible web development: Opportunities to improve the education and practice of web development with a screen reader,"… colleagues, and avoidance of design and front-end development. This work contributes to
… issues specific to web development and the strategies that blind web developers employ in …","C Ferrari, A Hurst",2021,ACM Transactions on Accessible Computing …,web developer,https://dl.acm.org/doi/pdf/10.1145/3458024,https://dl.acm.org/doi/abs/10.1145/3458024,pdf_failed,accessible web development opportunities to improve the education and practice of web development with screen reader colleagues and avoidance of design and frontend development this work contributes to issues specific to web development and the strategies that blind web developers employ in
55,Chatgpt as a full-stack web developer,"… development by providing valuable experience of using ChatGPT as tool in software
development. … A detailed description of the project and the research design is in Sect. 3. Results …","V Liukko, A Knappe, T Anttila, J Hakala, J Ketola…",2024,… Software Development,web developer,https://researchportal.tuni.fi/files/146993562/ChatGPT-as-a-full-stack-web-developer-rinnakkaistallenne.pdf,https://link.springer.com/chapter/10.1007/978-3-031-55642-5_9,pdf_failed,chatgpt as fullstack web developer development by providing valuable experience of using chatgpt as tool in software development detailed description of the project and the research design is in sect results
56,Jsanalyzer: A web developer tool for simplifying mobile web pages through non-critical javascript elimination,"… web users who solely rely on low-end devices, we propose “JSAnalyzer,” an easy-to-use tool
that enables web developers … of these pages for mobile web users. JSAnalyzer is motivated …","M Chaqfeh, R Coke, J Hu, W Hashmi…",2022,… on the Web,web developer,https://dl.acm.org/doi/pdf/10.1145/3550358,https://dl.acm.org/doi/abs/10.1145/3550358,pdf_failed,jsanalyzer web developer tool for simplifying mobile web pages through noncritical javascript elimination web users who solely rely on lowend devices we propose jsanalyzer an easytouse tool that enables web developers of these pages for mobile web users jsanalyzer is motivated
