id,title,abstract,authors,year,source,category,cleaned_text
21,Machine learning for alloys,"… Pairing machine learning and alloys has proven to be … This Review examines the present
state of machine-learning-driven … We foresee that the partnership between machine learning …","GLW Hart, T Mueller, C Toher, S Curtarolo",2021,Nature Reviews Materials,machine learning,machine learning for alloys pairing machine learning and alloys has proven to be this review examines the present state of machinelearningdriven we foresee that the partnership between machine learning
22,Machine learning in economics and finance,"… Machine Learning (ML) was introduced by Arthur Samuel while working for IBM in 1959, mainly
to describe the pattern recognition tasks that delivered the “learning… of Machine Learning …","P Gogas, T Papadimitriou",2021,Computational Economics,machine learning,machine learning in economics and finance machine learning ml was introduced by arthur samuel while working for ibm in mainly to describe the pattern recognition tasks that delivered the learning of machine learning
23,Machine learning and applications in microbiology,"… Applying machine learning to address biological problems is expected … machine learning
practitioner. These key points are further reinforced with an evaluation of how machine learning …","SJ Goodswen, JLN Barratt, PJ Kennedy…",2021,FEMS microbiology …,machine learning,machine learning and applications in microbiology applying machine learning to address biological problems is expected machine learning practitioner these key points are further reinforced with an evaluation of how machine learning
24,OMLT: Optimization & machine learning toolkit,"… The optimization and machine learning toolkit (OMLT) is an open-source software package
… models, which have been trained using machine learning, into larger optimization problems. …","F Ceccon, J Jalving, J Haddad, A Thebelt…",2022,… of Machine Learning …,machine learning,omlt optimization machine learning toolkit the optimization and machine learning toolkit omlt is an opensource software package models which have been trained using machine learning into larger optimization problems
25,Machine learning in chemical engineering: A perspective,"… and application of machine learning with a focus on deep learning and probabilistic models.
… algorithms of statistical machine learning, especially unsupervised deep learning, and its …","AM Schweidtmann, E Esche, A Fischer…",2021,Chemie Ingenieur …,machine learning,machine learning in chemical engineering perspective and application of machine learning with focus on deep learning and probabilistic models algorithms of statistical machine learning especially unsupervised deep learning and its
26,Human-in-the-loop machine learning: a state of the art,"… Researchers are defining new types of interactions between humans and machine learning
… machine learning (HITL-ML) (Munro 2020). The idea is not only to make machine learning …","E Mosqueira-Rey, E Hernández-Pereira…",2023,Artificial Intelligence …,machine learning,humanintheloop machine learning state of the art researchers are defining new types of interactions between humans and machine learning machine learning hitlml munro the idea is not only to make machine learning
27,Causality for machine learning,"… for Machine Learning In spite of all recent successes, if we compare what machine learning
… This shortcoming is not too surprising since machine learning often disregards information …",B Schölkopf,2022,Probabilistic and causal inference: The works of Judea …,machine learning,causality for machine learning for machine learning in spite of all recent successes if we compare what machine learning this shortcoming is not too surprising since machine learning often disregards information
28,Machine learning: new ideas and tools in environmental science and engineering,"… Machine learning has the potential to revolutionize data analysis and modeling in the …
shortcomings, challenges, and opportunities for applications of machine learning in the ESE field. …","S Zhong, K Zhang, M Bagheri, JG Burken…",2021,… science & technology,machine learning,machine learning new ideas and tools in environmental science and engineering machine learning has the potential to revolutionize data analysis and modeling in the shortcomings challenges and opportunities for applications of machine learning in the ese field
29,Scope of machine learning in materials research—A review,"This comprehensive review investigates the multifaceted applications of machine learning in
materials research across six key dimensions, redefining the field's boundaries. It explains …","MH Mobarak, MA Mimona, MA Islam, N Hossain…",2023,Applied Surface Science …,machine learning,scope of machine learning in materials research a review this comprehensive review investigates the multifaceted applications of machine learning in materials research across six key dimensions redefining the fields boundaries it explains
30,Machine learning for biochemical engineering: A review,"… use of machine learning within biochemical engineering over the last 20 years. The most
prevalent machine learning … Finally, core challenges into the application of machine learning in …","M Mowbray, T Savage, C Wu, Z Song, BA Cho…",2021,Biochemical …,machine learning,machine learning for biochemical engineering review use of machine learning within biochemical engineering over the last years the most prevalent machine learning finally core challenges into the application of machine learning in
31,Participation is not a design fix for machine learning,"… machine learning. It examines three existing kinds of participation in design practice and
machine learning … justice – to argue that the machine learning community must become attuned …","M Sloane, E Moss, O Awomolo, L Forlano",2022,Proceedings of the 2nd ACM …,machine learning,participation is not design fix for machine learning machine learning it examines three existing kinds of participation in design practice and machine learning justice to argue that the machine learning community must become attuned
32,Machine learning for a sustainable energy future,"… Here we explore the extent to which machine learning (ML) techniques can help to address
many of these challenges 8,9,10 . ML models can be used to predict specific properties of …","Z Yao, Y Lum, A Johnston, LM Mejia-Mendoza…",2023,Nature Reviews …,machine learning,machine learning for sustainable energy future here we explore the extent to which machine learning ml techniques can help to address many of these challenges ml models can be used to predict specific properties of
33,Understanding from machine learning models,"… the opposite direction by utilizing opaque machine learning models to make predictions and
… or pragmatic good when they choose a machine learning model? Or are the assumptions …",E Sullivan,2022,The British Journal for the Philosophy of Science,machine learning,understanding from machine learning models the opposite direction by utilizing opaque machine learning models to make predictions and or pragmatic good when they choose machine learning model or are the assumptions
34,Machine learning at the network edge: A survey,"… This section describes the low-power hardware that have been used in edge machine
learning systems. High performance from a deep learning application is only achievable when an …","MGS Murshed, C Murphy, D Hou, N Khan…",2021,ACM Computing …,machine learning,machine learning at the network edge survey this section describes the lowpower hardware that have been used in edge machine learning systems high performance from deep learning application is only achievable when an
35,Financial applications of machine learning: A literature review,"… of machine learning and deep learning in … on machine learning in finance. The study finally
points out possible research directions which might lead to new inquiries in machine learning …","N Nazareth, YVR Reddy",2023,Expert Systems with Applications,machine learning,financial applications of machine learning literature review of machine learning and deep learning in on machine learning in finance the study finally points out possible research directions which might lead to new inquiries in machine learning
36,Machine learning for chemical reactions,"… Machine learning (ML) … using machine-learned neural network potentials. This review
provides an overview of the questions that can and have been addressed using machine learning …",M Meuwly,2021,Chemical Reviews,machine learning,machine learning for chemical reactions machine learning ml using machinelearned neural network potentials this review provides an overview of the questions that can and have been addressed using machine learning
37,The role of machine learning algorithms for diagnosing diseases,"… the machine learning … machine, K-nearest neighbor, K-means clustering, decision tree, and
random forest. In this work, many previous studies were reviewed that used machine learning …","I Ibrahim, A Abdulazeez",2021,Journal of Applied Science and Technology …,machine learning,the role of machine learning algorithms for diagnosing diseases the machine learning machine knearest neighbor kmeans clustering decision tree and random forest in this work many previous studies were reviewed that used machine learning
38,Scientific machine learning benchmarks,"… frameworks, computer architectures and machine learning models… metrics for the application
of machine learning methods to open, … Here, we introduce the concept of machine learning …","J Thiyagalingam, M Shankar, G Fox, T Hey",2022,Nature Reviews Physics,machine learning,scientific machine learning benchmarks frameworks computer architectures and machine learning models metrics for the application of machine learning methods to open here we introduce the concept of machine learning
39,When machine learning meets privacy: A survey and outlook,"… problems and machine learning is … machine learning. The survey covers three categories
of interactions between privacy and machine learning: (i) private machine learning, (ii) machine …","B Liu, M Ding, S Shaham, W Rahayu…",2021,ACM Computing …,machine learning,when machine learning meets privacy survey and outlook problems and machine learning is machine learning the survey covers three categories of interactions between privacy and machine learning private machine learning ii machine
40,Machine learning and deep learning: A review of methods and applications,"… machine learning and deep learning, their differences, applications, and their impact on various
industries. Machine learning and deep learning … of machine learning and deep learning, …","K Sharifani, M Amini",2023,World Information Technology and …,machine learning,machine learning and deep learning review of methods and applications machine learning and deep learning their differences applications and their impact on various industries machine learning and deep learning of machine learning and deep learning
41,"Machine learning: Algorithms, real-world applications and research directions","… learning methods, can intelligently analyze the data on a large scale. In this paper, we present
a comprehensive view on these machine learning … different machine learning techniques …",IH Sarker,2021,SN computer science,machine learning,machine learning algorithms realworld applications and research directions learning methods can intelligently analyze the data on large scale in this paper we present comprehensive view on these machine learning different machine learning techniques
42,Applying machine learning to study fluid mechanics,"… This paper provides a short overview of how to use machine learning to build data-driven
models in fluid mechanics. The process of machine learning is broken down into five stages: (1…",SL Brunton,2021,Acta Mechanica Sinica,machine learning,applying machine learning to study fluid mechanics this paper provides short overview of how to use machine learning to build datadriven models in fluid mechanics the process of machine learning is broken down into five stages
43,Machine learning and deep learning applications-a vision,"… Deep learning had been analysed and implemented in … survey for machine learning along
with deep learning applications in … , for machine learning along with deep neural learning are …","N Sharma, R Sharma, N Jindal",2021,Global Transitions Proceedings,machine learning,machine learning and deep learning applicationsa vision deep learning had been analysed and implemented in survey for machine learning along with deep learning applications in for machine learning along with deep neural learning are
44,Tackling climate change with machine learning,"Climate change is one of the greatest challenges facing humanity, and we, as machine
learning (ML) experts, may wonder how we can help. Here we describe how ML can be a …","D Rolnick, PL Donti, LH Kaack, K Kochanski…",2022,ACM Computing …,machine learning,tackling climate change with machine learning climate change is one of the greatest challenges facing humanity and we as machine learning ml experts may wonder how we can help here we describe how ml can be
45,Machine learning algorithms for social media analysis: A survey,"… of machine learning algorithms, which are used in SM analysis. After that, we provide a detailed
survey of machine learning … challenges and benefits of Machine Learning usages in SM …","TK Balaji, CSR Annavarapu, A Bablani",2021,Computer Science Review,machine learning,machine learning algorithms for social media analysis survey of machine learning algorithms which are used in sm analysis after that we provide detailed survey of machine learning challenges and benefits of machine learning usages in sm
46,Machine Learning for industrial applications: A comprehensive literature review,"Abstract Machine Learning (ML) is a branch of artificial intelligence that studies algorithms
able to learn autonomously, directly from the input data. Over the last decade, ML techniques …","M Bertolini, D Mezzogori, M Neroni…",2021,Expert Systems with …,machine learning,machine learning for industrial applications comprehensive literature review abstract machine learning ml is branch of artificial intelligence that studies algorithms able to learn autonomously directly from the input data over the last decade ml techniques
47,Evolutionary machine learning: A survey,"… vectors pruning, and ensemble learning). This article … learning, clustering, association rule
mining, and ensemble methods. For each category, we discuss evolutionary machine learning …","A Telikani, A Tahmassebi, W Banzhaf…",2021,ACM Computing …,machine learning,evolutionary machine learning survey vectors pruning and ensemble learning this article learning clustering association rule mining and ensemble methods for each category we discuss evolutionary machine learning
48,Machine learning in manufacturing and industry 4.0 applications,"… learning from data, detect prevalent underlying patterns and make informed decisions.
Industries have been successful in the application of machine learning mainly … Machine learning …","R Rai, MK Tiwari, D Ivanov, A Dolgui",2021,International Journal of …,machine learning,machine learning in manufacturing and industry applications learning from data detect prevalent underlying patterns and make informed decisions industries have been successful in the application of machine learning mainly machine learning
49,Enhancing computational fluid dynamics with machine learning,"… Machine learning is rapidly becoming a core technology for scientific computing, with …
We also discuss emerging areas of machine learning that are promising for computational …","R Vinuesa, SL Brunton",2022,Nature Computational Science,machine learning,enhancing computational fluid dynamics with machine learning machine learning is rapidly becoming core technology for scientific computing with we also discuss emerging areas of machine learning that are promising for computational
50,Machine learning in environmental research: common pitfalls and best practices,"… Machine learning (ML) is increasingly used in environmental research to process large data
… By analyzing good examples on supervised learning and reference modeling paradigms, …","JJ Zhu, M Yang, ZJ Ren",2023,Environmental Science & Technology,machine learning,machine learning in environmental research common pitfalls and best practices machine learning ml is increasingly used in environmental research to process large data by analyzing good examples on supervised learning and reference modeling paradigms
51,An empirical study of web services topics in web developer discussions on stack overflow,"… that the client developers face due to using WSs to develop web and mobile applications. The
… client application developers by using the questions posted by web developers on the SO. …","K Mahmood, G Rasool, F Sabir, A Athar",2023,IEEE Access,web developer,an empirical study of web services topics in web developer discussions on stack overflow that the client developers face due to using wss to develop web and mobile applications the client application developers by using the questions posted by web developers on the so
52,Educational content of modern web developer training,"… set out by employers for web developers. In addition, the paper … in the field of web development
and design. Six main skill groups … who aspires to work in the field of web development. …","VY Golchevskiy, AV Yermolenko",2023,Informatics and Education,web developer,educational content of modern web developer training set out by employers for web developers in addition the paper in the field of web development and design six main skill groups who aspires to work in the field of web development
53,Web Developer and Tech Preneurs,"… of duties that are often referred to as web development. “Web development” is a term used
by web experts to describe the two main non-design components of creating websites: writing …","S Rashid, RK Gupta",2024,Skill Development and Start-Ups in …,web developer,web developer and tech preneurs of duties that are often referred to as web development web development is term used by web experts to describe the two main nondesign components of creating websites writing
54,Accessible web development: Opportunities to improve the education and practice of web development with a screen reader,"… colleagues, and avoidance of design and front-end development. This work contributes to
… issues specific to web development and the strategies that blind web developers employ in …","C Ferrari, A Hurst",2021,ACM Transactions on Accessible Computing …,web developer,accessible web development opportunities to improve the education and practice of web development with screen reader colleagues and avoidance of design and frontend development this work contributes to issues specific to web development and the strategies that blind web developers employ in
55,Chatgpt as a full-stack web developer,"… development by providing valuable experience of using ChatGPT as tool in software
development. … A detailed description of the project and the research design is in Sect. 3. Results …","V Liukko, A Knappe, T Anttila, J Hakala, J Ketola…",2024,… Software Development,web developer,chatgpt as fullstack web developer development by providing valuable experience of using chatgpt as tool in software development detailed description of the project and the research design is in sect results
56,Jsanalyzer: A web developer tool for simplifying mobile web pages through non-critical javascript elimination,"… web users who solely rely on low-end devices, we propose “JSAnalyzer,” an easy-to-use tool
that enables web developers … of these pages for mobile web users. JSAnalyzer is motivated …","M Chaqfeh, R Coke, J Hu, W Hashmi…",2022,… on the Web,web developer,jsanalyzer web developer tool for simplifying mobile web pages through noncritical javascript elimination web users who solely rely on lowend devices we propose jsanalyzer an easytouse tool that enables web developers of these pages for mobile web users jsanalyzer is motivated
57,Pembahasan Mengenai Front-End Web Developer dalam Ruang Lingkup Web Development,"… Untuk menjadi seorang web developer kita harus memahami apa saja skill fundamentalnya
dan frameworknya. Adapun skill fundamental yang perlu kita pahami dan kuasai sebagi …","SM Prasetiyo, MIP Nugroho, RL Putri…",2022,… : Jurnal Multidisiplin Ilmu,web developer,bahas kena frontend web developer ruang lingkup web development jadi orang web developer paham apa skill fundamental frameworknya adapun skill fundamental paham kuasa bagi
58,Chatgpt as a fullstack web developer-early results,"… development by providing valuable experience of using ChatGPT as tool in software
development. … 2, a detailed description of the project and the research design in Sect. 3, results in …","P Abrahamsson, T Anttila, J Hakala, J Ketola…",2022,… Software Development,web developer,chatgpt as fullstack web developerearly results development by providing valuable experience of using chatgpt as tool in software development detailed description of the project and the research design in sect results in
59,Python for web development,"… Being a flexible language, it offers fast development of web-based applications. It offers
development using CGI and WSGI. Web development in Python is aided by the powerful …","U Patkar, P Singh, H Panse, S Bhavsar…",2022,International Journal of …,web developer,python for web development being flexible language it offers fast development of webbased applications it offers development using cgi and wsgi web development in python is aided by the powerful
60,AI-Assisted Code Generation and Optimization in. NET Web Development,"… and optimization in .NET web development is promising. With continuous advancements
in machine learning and AI-driven development tools, developers will benefit from more …",AS Shethiya,2025,Annals of Applied Sciences,web developer,aiassisted code generation and optimization in net web development and optimization in net web development is promising with continuous advancements in machine learning and aidriven development tools developers will benefit from more
61,Evaluating chatgpt: Generative ai in ux design and web development pedagogy,"… to user experience design and web development pedagogies and … a student or junior designer
or web developer might, sometimes … of prompts (brainstorming, design, and coding) and …",E York,2023,… of the 41st ACM international conference on design of …,web developer,evaluating chatgpt generative ai in ux design and web development pedagogy to user experience design and web development pedagogies and student or junior designer or web developer might sometimes of prompts brainstorming design and coding and
62,Codea11y: Making ai coding assistants useful for accessible web development,"… web developers ultimately determine the accessibility (or inaccessibility) of the UI code that
they write. Getting front-end developers to … to help designers and webmasters make their web …","P Mowar, YH Peng, J Wu, A Steinfeld…",2025,Proceedings of the,web developer,codeay making ai coding assistants useful for accessible web development web developers ultimately determine the accessibility or inaccessibility of the ui code that they write getting frontend developers to to help designers and webmasters make their web
63,"Web design and trust as moderators in the relationship between e-service quality, customer satisfaction and customer loyalty","… In online stores, web design is crucial in attracting and retaining customers (… web design
as one dimension of e-service quality (Lee and Lin, 2005); this research argues that web design …","J Venkatakrishnan, R Alagiriswamy, S Parayitam",2023,The TQM Journal,web developer,web design and trust as moderators in the relationship between eservice quality customer satisfaction and customer loyalty in online stores web design is crucial in attracting and retaining customers web design as one dimension of eservice quality lee and lin this research argues that web design
64,"Building e-trust and e-retention in online shopping: the role of website design, reliability and perceived ease of use","… Addressing these gaps, this study aims to examine the impact of website design, reliability
and perceived ease of use as an engagement motivational factor on customer e-trust and e-…","O Saoula, A Shamim, N Mohd Suki…",2023,Spanish Journal of …,web developer,building etrust and eretention in online shopping the role of website design reliability and perceived ease of use addressing these gaps this study aims to examine the impact of website design reliability and perceived ease of use as an engagement motivational factor on customer etrust and e
65,DesignChecker: Visual design support for blind and low vision web developers,"… helps BLV developers improve their web designs. With DesignChecker, users can assess
their current design by comparing it to visual design guidelines, a reference website of their …","M Huh, A Pavel",2024,Proceedings of the 37th Annual ACM Symposium on …,web developer,designchecker visual design support for blind and low vision web developers helps blv developers improve their web designs with designchecker users can assess their current design by comparing it to visual design guidelines reference website of their
66,Llms in web development: Evaluating llm-generated php code unveiling vulnerabilities and limitations,"… web application security is essential [6]. The PHP server-side scripting language remains
integral to web development… its ongoing relevance in the web development landscape [8, 9]. …","R Tóth, T Bisztray, L Erdődi",2024,"… on Computer Safety, Reliability, and Security",web developer,llms in web development evaluating llmgenerated php code unveiling vulnerabilities and limitations web application security is essential the php serverside scripting language remains integral to web development its ongoing relevance in the web development landscape
67,Web accessibility and web developer attitudes towards accessibility in Mozambique,"… The web professionals chosen for the research have a job in the role of software developer,
web developer, web designer, webmasters. The paper assumes these web developers are …","S Gupta, T Gjøsæter, GA Giannoumis",2021,International Conference on …,web developer,web accessibility and web developer attitudes towards accessibility in mozambique the web professionals chosen for the research have job in the role of software developer web developer web designer webmasters the paper assumes these web developers are
68,Impact of shopping website design on customer satisfaction and loyalty: The mediating role of usability and the moderating role of trust,"… for website design are based on shopping website design, which emphasizes how different
design … Further research could be conducted by using various website attributes for various …","J Guo, W Zhang, T Xia",2023,Sustainability,web developer,impact of shopping website design on customer satisfaction and loyalty the mediating role of usability and the moderating role of trust for website design are based on shopping website design which emphasizes how different design further research could be conducted by using various website attributes for various
69,JavaScript for Web Developers,"… When you load a web page, it’s quite possible that you’ll see the result of up to five technologies.
Two of these will have occurred at the web server, and three will be happening within …",M Simon,2023,JavaScript for Web Developers,web developer,javascript for web developers when you load web page it s quite possible that you ll see the result of up to five technologies two of these will have occurred at the web server and three will be happening within
70,The rise of disappearing frameworks in web development,"… the next major phase in web development, addressing RQ3. … technologies used for web
development. Rather than trying to … as the next potential phase in mainstream web development. …","J Vepsäläinen, A Hellas, P Vuorimaa",2023,International Conference on Web …,web developer,the rise of disappearing frameworks in web development the next major phase in web development addressing rq technologies used for web development rather than trying to as the next potential phase in mainstream web development
71,Machine learning for web development: A fusion,"… ) a web development scripting language also seems to be changing with time. Earlier it was
… for making dynamic web pages, interactive use of maps, animations, but the development in …","P Jain, PK Aggarwal, K Makar…",2021,Artificial Intelligence …,web developer,machine learning for web development fusion web development scripting language also seems to be changing with time earlier it was for making dynamic web pages interactive use of maps animations but the development in
72,Review on study and usage of mern stack for web development,"… a web development stack that helps you to create both Web … android and iOS) mobile
development framework which is based … throughout and across the stack, developers don’t need …","SA Bafna, PD Dutonde, SS Mamidwar…",2022,… Journal for Research …,web developer,review on study and usage of mern stack for web development web development stack that helps you to create both web android and ios mobile development framework which is based throughout and across the stack developers don t need
167,Augmented reality advertising via a mobile app,"… Augmented reality (AR) mobile app advertising offers new … We aim to shed light on how AR
mobile app advertising can … brand engagement via AR mobile app advertising. Prior brand …","E Sung, DID Han, YK Choi",2022,Psychology & Marketing,mobile application,augmented reality advertising via mobile app augmented reality ar mobile app advertising offers new we aim to shed light on how ar mobile app advertising can brand engagement via ar mobile app advertising prior brand
73,The role of APIs in modern web development: Enhancing system integrations,"Abstract: Rapid growth and improvement in software development have prompted the use …
solutions, developers need to take into account many facets of the Software Development Life …",SP Bandaru,2025,International Journal of Computer Science and Mobile …,web developer,the role of apis in modern web development enhancing system integrations abstract rapid growth and improvement in software development have prompted the use solutions developers need to take into account many facets of the software development life
74,Evolution of popularity and multiaspectual comparison of widely used web development frameworks,"… Since the emergence of the first web development frameworks at the turn of the 21st century…
years of the changing popularity of web development frameworks by observing the number …","J Swacha, A Kulpa",2023,Electronics,web developer,evolution of popularity and multiaspectual comparison of widely used web development frameworks since the emergence of the first web development frameworks at the turn of the st century years of the changing popularity of web development frameworks by observing the number
75,Development of Gamification-Based E-Learning on Web Design Topic.,"… fields such as web programming. Research … Web Design called HSS learning, an HTML
and CSS learning acronym. HSS Learning is an interactive learning media used in Web Design …","F Pradana, P Setyosari, S Ulfa",2023,International Journal of …,web developer,development of gamificationbased elearning on web design topic fields such as web programming research web design called hss learning an html and css learning acronym hss learning is an interactive learning media used in web design
76,Sketch2code: Evaluating vision-language models for interactive web design prototyping,"… Real-world web design is an iterative process where initial concepts undergo multiple … web
developer who specializes in HTML and CSS. A user will provide you with a sketch design of …","R Li, Y Zhang, D Yang",2025,Proceedings of the,web developer,sketchcode evaluating visionlanguage models for interactive web design prototyping realworld web design is an iterative process where initial concepts undergo multiple web developer who specializes in html and css user will provide you with sketch design of
77,Web development system project report,"… For larger organizations and businesses, web development teams can consist of hundreds
of people (web developers) and follow standard methods like Agile methodologies while …",K Acharya,2024,Authorea Preprints,web developer,web development system project report for larger organizations and businesses web development teams can consist of hundreds of people web developers and follow standard methods like agile methodologies while
78,A Study on a Project-based Blockchain Web Developer Education Model Customized for Companies,"… , we design an industry-oriented curriculum model through a companycustomized education
model for blockchain and web developers, and suggest the direction of development …",KH Lee,2022,사물인터넷융복합논문지,web developer,study on projectbased blockchain web developer education model customized for companies we design an industryoriented curriculum model through companycustomized education model for blockchain and web developers and suggest the direction of development
