Query,Kategori,Rank,Judul,Penulis,Tahun,Similarity Score,Relevan
network security,Cyber Security,8,"A comprehensive review of cyber security vulnerabilities, threats, attacks, and solutions","Ö Aslan, SS Aktuğ, M Ozkan-Okay, AA Yilmaz, E Akin",2023,0.2046,Ya
network security,Cyber Security,9,Defining cyber security and cyber security risk within a multidisciplinary context using expert elicitation,"MG Cains, L Flora, D Taber, Z King…",2022,0.1995,Ya
network security,Cyber Security,10,Artificial intelligence in cyber security,"R Das, R Sandhane",2021,0.189,Tidak
mobile application,Mobile Application,1,Deep learning methods for accurate skin cancer recognition and mobile application,"I Kousis, I Perikos, I Hatzilygeroudis, M Virvou",2022,0.4751,Ya
mobile application,Mobile Application,2,User interface design & evaluation of mobile applications,N Samrgandi,2021,0.4286,Ya
mobile application,Mobile Application,3,User experience analysis on mobile application design using user experience questionnaire,"ID Sabukunze, A Arakaza",2021,0.4285,Ya
mobile application,Mobile Application,4,Consumer adoption of the Uber mobile application: Insights from diffusion of innovation theory and technology acceptance model,"S Min, KKF So, M Jeong",2021,0.4227,Ya
mobile application,Mobile Application,5,A new mobile application of agricultural pests recognition using deep learning in cloud computing system,"ME Karar, F Alsunaydi, S Albusaymi…",2021,0.4128,Ya
mobile application,Mobile Application,6,Design and implementation of smart hydroponics farming using IoT‐Based AI controller with mobile application system,"SVS Ramakrishnam Raju, B Dappuri…",2022,0.3937,Ya
mobile application,Mobile Application,7,Towards a new learning experience through a mobile application with augmented reality in engineering education,"S Criollo-C, D Abad-Vásquez, M Martic-Nieto…",2021,0.3795,Ya
mobile application,Mobile Application,8,Human monkeypox classification from skin lesion images with deep pre-trained network using mobile application,"VH Sahin, I Oztel, G Yolcu Oztel",2022,0.3526,Ya
mobile application,Mobile Application,9,The role of mobile application acceptance in shaping e-customer service,"LT Khrais, AM Alghamdi",2021,0.3175,Ya
mobile application,Mobile Application,10,Enhancing English vocabulary learning through mobile apps: A new paradigm in educational technology,Z Kayra,2024,0.3146,Ya
android application,Mobile Application,1,Human monkeypox classification from skin lesion images with deep pre-trained network using mobile application,"VH Sahin, I Oztel, G Yolcu Oztel",2022,0.2808,Ya
android application,Mobile Application,2,A new mobile application of agricultural pests recognition using deep learning in cloud computing system,"ME Karar, F Alsunaydi, S Albusaymi…",2021,0.2075,Ya
android application,Mobile Application,3,Deep learning methods for accurate skin cancer recognition and mobile application,"I Kousis, I Perikos, I Hatzilygeroudis, M Virvou",2022,0.1965,Tidak
android application,Mobile Application,4,Towards a new learning experience through a mobile application with augmented reality in engineering education,"S Criollo-C, D Abad-Vásquez, M Martic-Nieto…",2021,0.1907,Ya
android application,Mobile Application,5,User experience analysis on mobile application design using user experience questionnaire,"ID Sabukunze, A Arakaza",2021,0.1772,Ya
android application,Mobile Application,6,Consistency analysis of data-usage purposes in mobile apps,"D Bui, Y Yao, KG Shin, JM Choi, J Shin",2021,0.1646,Tidak
android application,Mobile Application,7,User interface design & evaluation of mobile applications,N Samrgandi,2021,0.1586,Ya
android application,Mobile Application,8,Consumer adoption of the Uber mobile application: Insights from diffusion of innovation theory and technology acceptance model,"S Min, KKF So, M Jeong",2021,0.1564,Ya
android application,Mobile Application,9,Review on study and usage of mern stack for web development,"SA Bafna, PD Dutonde, SS Mamidwar…",2022,0.1471,Ya
android application,Mobile Application,10,Design and implementation of smart hydroponics farming using IoT‐Based AI controller with mobile application system,"SVS Ramakrishnam Raju, B Dappuri…",2022,0.1457,Tidak
data mining,Machine Learning,1,Cyber risk and cybersecurity: a systematic review of data availability,"F Cremer, B Sheehan, M Fortmann…",2022,0.194,Ya
data mining,Machine Learning,2,Evolutionary machine learning: A survey,"A Telikani, A Tahmassebi, W Banzhaf…",2021,0.1679,Ya
data mining,Machine Learning,3,Text mining approach to explore determinants of grocery mobile app satisfaction using online customer reviews,"A Kumar, S Chakraborty, PK Bala",2023,0.1172,Ya
data mining,Machine Learning,4,"Machine learning: Algorithms, real-world applications and research directions",IH Sarker,2021,0.0828,Tidak
data mining,Machine Learning,5,Machine learning: new ideas and tools in environmental science and engineering,"S Zhong, K Zhang, M Bagheri, JG Burken…",2021,0.0805,Ya
data mining,Machine Learning,6,Machine learning in manufacturing and industry 4.0 applications,"R Rai, MK Tiwari, D Ivanov, A Dolgui",2021,0.0798,Ya
data mining,Machine Learning,7,Machine Learning for industrial applications: A comprehensive literature review,"M Bertolini, D Mezzogori, M Neroni…",2021,0.0755,Tidak
data mining,Machine Learning,8,Artificial intelligence in the cyber security environment,J Jain,2021,0.0749,Ya
data mining,Machine Learning,9,Amnesiac machine learning,"L Graves, V Nagisetty, V Ganesh",2021,0.0743,Tidak
data mining,Machine Learning,10,Machine learning in environmental research: common pitfalls and best practices,"JJ Zhu, M Yang, ZJ Ren",2023,0.0725,Ya
software security,Cyber Security,1,The role of APIs in modern web development: Enhancing system integrations,SP Bandaru,2025,0.3009,Ya
software security,Cyber Security,2,A systematic literature review on the cyber security,"Y Perwej, SQ Abbas, JP Dixit, N Akhtar…",2021,0.265,Ya
software security,Cyber Security,3,The difference between cyber security vs information security,"LA Alexei, A Alexei",2022,0.2597,Ya
software security,Cyber Security,4,The role of cyber security in a digitalizing economy: a development perspective,"CI Erondu, UI Erondu",2023,0.2289,Ya
software security,Cyber Security,5,Analysis of cyber security knowledge gaps based on cyber security body of knowledge,"C Catal, A Ozcan, E Donmez, A Kasif",2023,0.2158,Tidak
software security,Cyber Security,6,"Cyber security techniques, architectures, and design","S Rani, A Kataria, M Chauhan",2022,0.2045,Ya
software security,Cyber Security,7,"A comprehensive review of cyber security vulnerabilities, threats, attacks, and solutions","Ö Aslan, SS Aktuğ, M Ozkan-Okay, AA Yilmaz, E Akin",2023,0.1932,Ya
software security,Cyber Security,8,Defining cyber security and cyber security risk within a multidisciplinary context using expert elicitation,"MG Cains, L Flora, D Taber, Z King…",2022,0.1884,Tidak
software security,Cyber Security,9,Chatgpt as a full-stack web developer,"V Liukko, A Knappe, T Anttila, J Hakala, J Ketola…",2024,0.1805,Ya
software security,Cyber Security,10,Artificial intelligence in cyber security,"R Das, R Sandhane",2021,0.1785,Ya
